編號,案類,發生日期,發生時間,發生地點
1,住宅竊盜,1070102,0420,臺中市北區新北里12鄰尊賢街
2,住宅竊盜,1070103,0234,臺中市東區育英路
3,住宅竊盜,1070104,2050,臺中市北區中華路2段173巷
4,住宅竊盜,1070106,0500,臺中市西屯區大恩街
5,住宅竊盜,1070110,1000,臺中市豐原區育英路177巷
6,住宅竊盜,1070110,1701,臺中市北區篤行路
7,住宅竊盜,1070111,1538,臺中市北區育強路
8,住宅竊盜,1070115,1920,臺中市大雅區民生路三段111巷
9,住宅竊盜,1070117,1415,臺中市龍井區臺灣大道5段
10,住宅竊盜,1070117,1500,臺中市梧棲區中央路1段
11,住宅竊盜,1070120,0000,臺中市豐原區同安街
12,住宅竊盜,1070121,2030,臺中市大肚區自由路
13,住宅竊盜,1070124,0800,臺中市西屯區弘孝路
14,住宅竊盜,1070124,1200,臺中市西屯區長安路二段122巷
15,住宅竊盜,1070124,1335,臺中市神岡區社口街336巷
16,住宅竊盜,1070124,2200,臺中市大里區大明路223巷
17,住宅竊盜,1070204,1700,臺中市潭子區崇德路五段
18,住宅竊盜,1070206,0840,臺中市北屯區東山路1段140巷
19,住宅竊盜,1070206,1100,臺中市東勢區埤頭里石城街石山巷
20,住宅竊盜,1070207,1030,臺中市西屯區安和一街
21,住宅竊盜,1070208,1505,臺中市南屯區文山里寶山二街
22,住宅竊盜,1070209,0818,臺中市南區南門路59巷
23,住宅竊盜,1070210,1200,臺中市大雅區楓林街
24,住宅竊盜,1070210,1900,臺中市潭子區勝利十二街51巷
25,住宅竊盜,1070211,0000,臺中市西屯區臺灣大道2段
26,住宅竊盜,1070215,1400,臺中市北區英才路262巷
27,住宅竊盜,1070215,1730,臺中市南區忠明南路730巷
28,住宅竊盜,1070216,1830,臺中市北屯區松和里4鄰崇德二路1段
29,住宅竊盜,1070217,0520,臺中市北屯區軍福十六路
30,住宅竊盜,1070218,1700,臺中市大雅區雅潭路3段355巷
31,住宅竊盜,1070220,0000,臺中市南區三民西路
32,住宅竊盜,1070221,1000,臺中市霧峰區錦州路401巷
33,住宅竊盜,1070221,1950,臺中市北屯區天津路4段
34,住宅竊盜,1070222,0120,臺中市北屯區天津路4段
35,住宅竊盜,1070223,0250,臺中市大雅區通山路
36,住宅竊盜,1070224,0428,臺中市神岡區新興路115巷
37,住宅竊盜,1070224,2101,臺中市南區三民西路
38,住宅竊盜,1070225,1030,臺中市北屯區經貿二路貿易巷
39,住宅竊盜,1070225,2100,臺中市北屯區天祥街229巷
40,住宅竊盜,1070226,0921,臺中市潭子區大成街一巷
41,住宅竊盜,1070227,1430,臺中市西區向上路1段17巷
42,住宅竊盜,1070304,1800,臺中市西屯區大鵬里11鄰長安路2段71巷
43,住宅竊盜,1070311,1216,臺中市中區綠川西街
44,住宅竊盜,1070312,1000,臺中市太平區大源十九街2巷
45,住宅竊盜,1070320,1800,臺中市烏日區學田路便行巷
46,住宅竊盜,1070321,0235,臺中市西屯區文心路3段
47,住宅竊盜,1070323,0850,臺中市大雅區東大路二段
48,住宅竊盜,1070327,0200,臺中市南屯區文山里向上路5段70巷
49,住宅竊盜,1070328,2230,臺中市西屯區逢甲路20巷
50,住宅竊盜,1070329,0556,臺中市神岡區豐社路50巷
51,住宅竊盜,1070329,1130,臺中市西屯區台灣大道三段
52,住宅竊盜,1070329,1500,臺中市北屯區熱河路2段
53,住宅竊盜,1070331,1143,臺中市西屯區西平里7鄰西安街277巷
54,住宅竊盜,1070403,0640,臺中市豐原區愛國街
55,住宅竊盜,1070403,1400,臺中市北區自強街36巷
56,住宅竊盜,1070404,1805,臺中市北屯區和順路
57,住宅竊盜,1070405,2310,臺中市豐原區慈龍街
58,住宅竊盜,1070406,2000,臺中市北區陝西東三街
59,住宅竊盜,1070408,0130,臺中市神岡區民生路
60,住宅竊盜,1070409,0207,臺中市南屯區文山里向上路5段
61,住宅竊盜,1070410,1855,臺中市北區文昌東一街
62,住宅竊盜,1070410,2249,臺中市豐原區田心路2段247巷
63,住宅竊盜,1070410,2249,臺中市豐原區田心路2段247巷
64,住宅竊盜,1070412,0957,臺中市北屯區文昌東六街125巷
65,住宅竊盜,1070412,1207,臺中市北屯區松竹路二段
66,住宅竊盜,1070413,1020,臺中市西屯區光明路
67,住宅竊盜,1070419,1215,臺中市豐原區豐勢路二段332巷
68,住宅竊盜,1070429,0200,臺中市東區三賢街
69,住宅竊盜,1070502,2350,臺中市東勢區埤頭里石城街石山巷
70,住宅竊盜,1070505,1620,臺中市北區柳川西路
71,住宅竊盜,1070506,0700,臺中市大雅區昌平路四段282北三巷
72,住宅竊盜,1070507,0300,臺中市豐原區水源路
73,住宅竊盜,1070509,0255,臺中市北區衛道路35巷
74,住宅竊盜,1070509,1330,臺中市神岡區福成路
75,住宅竊盜,1070512,1240,臺中市豐原區三豐路二段272巷
76,住宅竊盜,1070512,1935,臺中市豐原區北陽三街
77,住宅竊盜,1070518,2130,臺中市西屯區漢口路2段
78,住宅竊盜,1070520,1700,臺中市西屯區臺灣大道四段
79,住宅竊盜,1070521,1000,臺中市石岡區明德路
80,住宅竊盜,1070522,1814,臺中市清水區武鹿里公正路
81,住宅竊盜,1070523,2010,臺中市北屯區文昌東四街80巷
82,住宅竊盜,1070524,1200,臺中市南區忠孝路
83,住宅竊盜,1070526,0700,臺中市北區武昌路
84,住宅竊盜,1070526,0800,臺中市龍井區遊園北路
85,住宅竊盜,1070528,0000,臺中市龍井區遊園南路101巷
86,住宅竊盜,1070528,0900,臺中市北區武昌路
87,住宅竊盜,1070528,1300,臺中市北區文化路
88,住宅竊盜,1070530,1130,臺中市梧棲區自強二街28巷
89,住宅竊盜,1070530,1900,臺中市北區三民路3段307巷
90,住宅竊盜,1070602,0015,臺中市南屯區文山里保安八街
91,住宅竊盜,1070605,1600,臺中市北區太原路2段
92,住宅竊盜,1070606,2010,臺中市神岡區神清路169巷
93,住宅竊盜,1070607,2154,臺中市大甲區蔣公路
94,住宅竊盜,1070611,1130,臺中市神岡區中山路667巷
95,住宅竊盜,1070616,1340,臺中市南屯區春社里永春南路41巷
96,住宅竊盜,1070617,0000,臺中市中區興中街
97,住宅竊盜,1070618,2228,臺中市烏日區溪南路2段
98,住宅竊盜,1070622,1100,臺中市大甲區薰風里中山路1段
99,住宅竊盜,1070624,1000,臺中市南屯區春社里永春路
100,住宅竊盜,1070628,0300,臺中市北區梅亭街
101,住宅竊盜,1070702,1430,臺中市神岡區新庄里中平路240巷
102,住宅竊盜,1070704,0238,臺中市龍井區龍社路17巷
103,住宅竊盜,1070706,0830,臺中市西屯區寧夏路89巷
104,住宅竊盜,1070706,2005,臺中市大肚區榮華街22巷
105,住宅竊盜,1070707,0440,臺中市南屯區田心里田心北二巷
106,住宅竊盜,1070709,1200,臺中市北區水源街31巷
107,住宅竊盜,1070711,1130,臺中市大雅區雅環路二段64巷
108,住宅竊盜,1070713,0654,臺中市西區中美街
109,住宅竊盜,1070713,1800,臺中市北區漢口路3段
110,住宅竊盜,1070714,0345,臺中市大雅區永和路
111,住宅竊盜,1070717,0433,臺中市南屯區豐樂里萬和路1段
112,住宅竊盜,1070717,0935,臺中市南區大慶街2段31巷
113,住宅竊盜,1070729,1130,臺中市西屯區福星路
114,住宅竊盜,1070729,1400,臺中市北區太原路2段
115,住宅竊盜,1070806,0030,臺中市豐原區田心路二段267巷
116,住宅竊盜,1070807,1200,臺中市東區精武東路186巷
117,住宅竊盜,1070808,0315,臺中市大雅區神林路一段
118,住宅竊盜,1070808,1530,臺中市北屯區新興路16巷
119,住宅竊盜,1070809,2244,臺中市西屯區西屯路二段
120,住宅竊盜,1070811,2037,臺中市北屯區后庄路
121,住宅竊盜,1070813,1640,臺中市梧棲區梧北路82巷
122,住宅竊盜,1070814,0200,臺中市西屯區西屯路2段
123,住宅竊盜,1070821,0230,臺中市龍井區茄投路1段
124,住宅竊盜,1070826,1050,臺中市西屯區福科路961巷
125,住宅竊盜,1070831,1945,臺中市東區十甲東二街
126,住宅竊盜,1070901,0000,臺中市南屯區溝墘里大正街
127,住宅竊盜,1070903,1400,臺中市東區和平街228巷
128,住宅竊盜,1070903,2300,臺中市西區博館二街211巷
129,住宅竊盜,1070904,1010,臺中市神岡區文政街176巷
130,住宅竊盜,1070909,2300,臺中市西區樂群街
131,住宅竊盜,1070910,1900,臺中市神岡區民生路25巷
132,住宅竊盜,1070910,2000,臺中市神岡區豐洲路332巷
133,住宅竊盜,1070912,1200,臺中市北屯區文心路4段
134,住宅竊盜,1070912,1500,臺中市南屯區寶山里寶山東二街19巷
135,住宅竊盜,1070913,1030,臺中市北屯區文心路4段
136,住宅竊盜,1070914,0109,臺中市北屯區祥順一街112巷
137,住宅竊盜,1070914,1630,臺中市西屯區福上巷214弄
138,住宅竊盜,1070914,1720,臺中市北屯區陳平路123巷
139,住宅竊盜,1070915,0300,臺中市東區復興路4段
140,住宅竊盜,1070915,1400,臺中市北區英士路
141,住宅竊盜,1070915,2150,臺中市南屯區三厝里三和街
142,住宅竊盜,1070921,2030,臺中市北屯區崇德六路
143,住宅竊盜,1070922,2100,臺中市北屯區長生巷
144,住宅竊盜,1070926,0900,臺中市大雅區西村路
145,住宅竊盜,1070927,0345,臺中市南屯區大誠里東興東街
146,住宅竊盜,1070927,0430,臺中市西區忠義街38巷
147,住宅竊盜,1070928,0242,臺中市北區文昌東一街
148,住宅竊盜,1070928,0249,臺中市西區五權三街
149,住宅竊盜,1070930,1250,臺中市大雅區永和路
150,住宅竊盜,1071001,0800,臺中市北屯區東山路1段
151,住宅竊盜,1071001,1900,臺中市龍井區臺灣大道五段3巷
152,住宅竊盜,1071002,1115,臺中市龍井區舊車路7巷
153,住宅竊盜,1071008,0300,臺中市西屯區中康街
154,住宅竊盜,1071008,1843,臺中市豐原區圓環北路1段226巷
155,住宅竊盜,1071018,0330,臺中市豐原區豐年路262巷
156,住宅竊盜,1071020,1930,臺中市大雅區建興路
157,住宅竊盜,1071022,0550,臺中市豐原區豐原里007鄰新生北路
158,住宅竊盜,1071023,0613,臺中市北屯區后庄一街
159,住宅竊盜,1071023,1540,臺中市龍井區茄投路35號
160,住宅竊盜,1071024,0100,臺中市豐原區南陽路301巷
161,住宅竊盜,1071024,0400,臺中市南屯區新生里五權西路2段1266巷
162,住宅竊盜,1071029,1100,臺中市南屯區三義里大業路
163,住宅竊盜,1071029,1200,臺中市南屯區三義里大業路
164,住宅竊盜,1071029,2200,臺中市北區健行路865巷
165,住宅竊盜,1071031,2120,臺中市西屯區河南路二段
166,住宅竊盜,1071101,1330,臺中市南屯區春社里忠勇路
167,住宅竊盜,1071101,2030,臺中市豐原區中興里2鄰三路合作新路
168,住宅竊盜,1071103,0930,臺中市北屯區文心路4段
169,住宅竊盜,1071103,1400,臺中市西區府後街
170,住宅竊盜,1071106,1330,臺中市大雅區雅環路一段154巷
171,住宅竊盜,1071110,1538,臺中市西屯區
172,住宅竊盜,1071110,1757,臺中市西區日盛街
173,住宅竊盜,1071110,1800,臺中市西屯區大河里5鄰福上路
174,住宅竊盜,1071113,1017,臺中市南屯區豐樂里永春東三路
175,住宅竊盜,1071113,2130,臺中市東區富榮街
176,住宅竊盜,1071118,1800,臺中市北屯區梅川東路五段
177,住宅竊盜,1071126,2000,臺中市潭子區福潭路559巷
178,住宅竊盜,1071127,1300,臺中市西屯區寶慶街50巷
179,住宅竊盜,1071201,2000,臺中市東區十勇街
180,住宅竊盜,1071202,0800,臺中市潭子區中山路3段483巷
181,住宅竊盜,1071211,0039,臺中市西屯區市政南一路
182,住宅竊盜,1071211,1320,臺中市豐原區北陽路450巷
183,住宅竊盜,1071211,1530,臺中市清水區中社里建國路
184,住宅竊盜,1071216,1920,臺中市北屯區和祥七街
185,住宅竊盜,1071218,1000,臺中市霧峰區林森路
186,住宅竊盜,1071219,1800,臺中市北屯區崇德六路1段30巷
187,住宅竊盜,1071220,0330,臺中市北屯區后庄路250巷
188,住宅竊盜,1071221,0802,臺中市沙鹿區竹林里台灣大路7段432巷
189,住宅竊盜,1071224,1334,臺中市西屯區西屯路二段
190,住宅竊盜,1071227,2034,臺中市西屯區福上巷
191,住宅竊盜,1071230,0100,臺中市北屯區太安中街17巷
192,住宅竊盜,1071230,0123,臺中市北屯區景賢路
