編號,案類,發生日期,發生時間,發生地點
1,機車竊盜,1060101,1900,臺中市北屯區天津路4段
2,機車竊盜,1060104,1530,臺中市烏日區榮泉里中山路3段成功火車站前站道路
3,機車竊盜,1060105,1000,臺中市北區雙十路與錦新街口
4,機車竊盜,1060106,2200,臺中市西屯區西安街
5,機車竊盜,1060107,1000,臺中市中區公園路
6,機車竊盜,1060107,1700,臺中市太平區中山路三段
7,機車竊盜,1060108,1047,臺中市大里區鳳凰路202巷
8,機車竊盜,1060108,2000,臺中市北屯區文昌東六街
9,機車竊盜,1060109,0009,臺中市西屯區臺灣大道與朝富路口
10,機車竊盜,1060109,0345,臺中市南區忠明南路
11,機車竊盜,1060109,0540,臺中市北區德化街32巷
12,機車竊盜,1060110,0330,臺中市南區永和街156巷
13,機車竊盜,1060111,0130,臺中市中區自由、光復路
14,機車竊盜,1060113,1100,臺中市西屯區福星路
15,機車竊盜,1060114,0230,臺中市西屯區臺灣大道四段
16,機車竊盜,1060115,0250,臺中市西區篤信街
17,機車竊盜,1060115,0250,臺中市西區篤信街
18,機車竊盜,1060116,0302,臺中市南屯區向心路
19,機車竊盜,1060117,1954,臺中市西屯區黎明路三段
20,機車竊盜,1060117,2210,臺中市北區三民路與育才北路口
21,機車竊盜,1060118,1558,臺中市大里區爽文路
22,機車竊盜,1060119,1930,臺中市北區三民路3段
23,機車竊盜,1060122,1400,臺中市太平區中和街
24,機車竊盜,1060123,0130,臺中市西屯區逢甲路
25,機車竊盜,1060125,1250,臺中市西區市府路
26,機車竊盜,1060125,2130,臺中市南區大慶街2段
27,機車竊盜,1060126,0145,臺中市西屯區市政北七路與惠來路口
28,機車竊盜,1060126,1810,臺中市北屯區太原路與東光路口
29,機車竊盜,1060130,0120,臺中市大雅區大林路271巷
30,機車竊盜,1060130,0255,臺中市大甲區文武路
31,機車竊盜,1060202,0320,臺中市西屯區惠來路3段52巷
32,機車竊盜,1060202,0830,臺中市龍井區新興路3巷
33,機車竊盜,1060203,1820,臺中市南區南平路
34,機車竊盜,1060204,0410,臺中市北屯區文心路4段
35,機車竊盜,1060205,1230,臺中市西屯區西屯路一段167巷內
36,機車竊盜,1060205,1820,臺中市北區三民路3段
37,機車竊盜,1060206,0530,臺中市東區新民街
38,機車竊盜,1060206,1450,臺中市太平區建興路
39,機車竊盜,1060206,2330,臺中市豐原區圓環北路一段
40,機車竊盜,1060207,0923,臺中市大里區文心南路中投西路口
41,機車竊盜,1060208,0850,臺中市北區文心路4段
42,機車竊盜,1060208,1400,臺中市東區振興路100巷
43,機車竊盜,1060208,1700,臺中市西區樂群街
44,機車竊盜,1060210,2332,臺中市豐原區三民路
45,機車竊盜,1060212,0700,臺中市南屯區文昌街
46,機車竊盜,1060213,0555,臺中市西屯區漢口路2段
47,機車竊盜,1060213,1400,臺中市南屯區黎明東街
48,機車竊盜,1060214,0615,臺中市北區五常街251巷
49,機車竊盜,1060214,0800,臺中市西區成功路
50,機車竊盜,1060214,0814,臺中市南區工學六街、大慶街
51,機車竊盜,1060216,0200,臺中市大肚區華山路
52,機車竊盜,1060216,0330,臺中市大肚區華昌街
53,機車竊盜,1060216,0730,臺中市大肚區營埔3街18巷
54,機車竊盜,1060216,1448,臺中市霧峰區四德路
55,機車竊盜,1060217,0931,臺中市西屯區臺灣大道四段
56,機車竊盜,1060218,1800,臺中市豐原區三豐路二段
57,機車竊盜,1060219,0210,臺中市太平區振福路
58,機車竊盜,1060219,2245,臺中市豐原區中正路
59,機車竊盜,1060220,1617,臺中市豐原區南陽公園
60,機車竊盜,1060221,0000,臺中市東區進化路221巷
61,機車竊盜,1060223,1820,臺中市東區八德街武德街口
62,機車竊盜,1060224,2026,臺中市大里區國光路東榮路口
63,機車竊盜,1060225,2230,臺中市西屯區福星路逢甲路口
64,機車竊盜,1060226,0453,臺中市西屯區臺灣大道4段
65,機車竊盜,1060227,2307,臺中市太平區鵬儀路
66,機車竊盜,1060228,2130,臺中市西屯區福星路停車場
67,機車竊盜,1060301,1100,臺中市清水區海口北路
68,機車竊盜,1060302,1646,臺中市烏日區建國路
69,機車竊盜,1060304,1200,臺中市霧峰區中投東路2段
70,機車竊盜,1060305,0720,臺中市北區健行路
71,機車竊盜,1060306,1850,臺中市潭子區大豐路3段
72,機車竊盜,1060307,1540,臺中市大里區中興路2段東榮路口
73,機車竊盜,1060307,2330,臺中市西屯區臺灣大道4段
74,機車竊盜,1060308,2136,臺中市西屯區福星北路
75,機車竊盜,1060310,2113,臺中市西屯區大進路
76,機車竊盜,1060311,1300,臺中市北區學士路
77,機車竊盜,1060311,1322,臺中市東區雙十路1段
78,機車竊盜,1060311,1500,臺中市北區一中街
