編號,案類,發生日期,發生時間,發生地點
1,汽車竊盜,1070101,1730,臺中市龍井區中沙路南寮巷
2,汽車竊盜,1070107,1730,臺中市東區東光園路與振興路
3,汽車竊盜,1070109,2030,臺中市沙鹿區沙田路與天池街
4,汽車竊盜,1070110,0100,臺中市沙鹿區臺灣大道6段
5,汽車竊盜,1070110,0410,臺中市北區尚德街77巷
6,汽車竊盜,1070120,2000,臺中市新社區東興里興社街1段國校巷
7,汽車竊盜,1070122,0700,臺中市北屯區后庄路
8,汽車竊盜,1070122,1830,臺中市北屯區祥順路1段
9,汽車竊盜,1070125,2300,臺中市豐原區豐原大道3段與田心路2段
10,汽車竊盜,1070126,0730,臺中市北屯區天祥街225巷
11,汽車竊盜,1070128,1630,臺中市東區福立街
12,汽車竊盜,1070128,2000,臺中市烏日區高鐵五路停車格
13,汽車竊盜,1070130,0040,臺中市龍井區龍崗里沙田路4段350巷
14,汽車竊盜,1070202,1311,臺中市北屯區永和巷與山西路
15,汽車竊盜,1070205,0007,臺中市沙鹿區光華路
16,汽車竊盜,1070206,0430,臺中市大甲區臨江路112巷
17,汽車竊盜,1070209,1030,臺中市豐原區豐東公園前
18,汽車竊盜,1070210,1030,臺中市豐原區豐原大道上
19,汽車竊盜,1070210,1613,臺中市潭子區豐興路二段龍興巷內
20,汽車竊盜,1070210,2240,臺中市龍井區舊車路
21,汽車竊盜,1070211,0320,臺中市大甲區忠孝街
22,汽車竊盜,1070212,1312,臺中市豐原區成功路131巷
23,汽車竊盜,1070215,0320,臺中市外埔區甲后路3段
24,汽車竊盜,1070222,0750,臺中市南屯區豐樂里東興路與文心南五路
25,汽車竊盜,1070222,0750,臺中市南屯區豐樂里東興路與文心南五路
26,汽車竊盜,1070301,1000,臺中市梧棲區雲集街70巷
27,汽車竊盜,1070302,0415,臺中市豐原區仁愛街
28,汽車竊盜,1070307,1435,臺中市西區忠明南路
29,汽車竊盜,1070308,1130,臺中市后里區甲后路2段
30,汽車竊盜,1070312,1130,臺中市北區山西路2段
31,汽車竊盜,1070312,1800,臺中市北區南京東路2段
32,汽車竊盜,1070328,0500,臺中市清水區民族路2段229巷
33,汽車竊盜,1070329,0420,臺中市沙鹿區鎮南路2段
34,汽車竊盜,1070329,0620,臺中市龍井區龍泉里中社一街
35,汽車竊盜,1070404,1031,臺中市豐原區鎌村路
36,汽車竊盜,1070413,1100,臺中市清水區南社里民族路2段
37,汽車竊盜,1070414,0810,臺中市沙鹿區錦華街79巷
38,汽車竊盜,1070416,2300,臺中市北屯區太原路3段與建和路2段
39,汽車竊盜,1070420,1500,臺中市北屯區東山路2段貴城巷
40,汽車竊盜,1070424,0628,臺中市太平區旱溪東路近新光橋
41,汽車竊盜,1070428,2230,臺中市太平區太堤西路
42,汽車竊盜,1070429,0922,臺中市豐原區豐南街
43,汽車竊盜,1070430,0758,臺中市太平區新福路
44,汽車竊盜,1070502,1601,臺中市中區建國路與中山路
45,汽車竊盜,1070502,1819,臺中市豐原區同安路
46,汽車竊盜,1070504,0520,臺中市北屯區文昌東十一街
47,汽車竊盜,1070505,1330,臺中市南屯區永定里益文一街與益昌一街
48,汽車竊盜,1070510,0825,臺中市潭子區勝利3街
49,汽車竊盜,1070515,0350,臺中市大里區塗城里024鄰光正路209巷
50,汽車竊盜,1070518,0315,臺中市太平區旱溪西路2段
51,汽車竊盜,1070518,0700,臺中市清水區菁埔里臨港路7段612巷
52,汽車竊盜,1070519,1230,臺中市西區模範街40巷
53,汽車竊盜,1070520,2210,臺中市沙鹿區正英路13巷
54,汽車竊盜,1070521,0755,臺中市太平區中山路2段350巷
55,汽車竊盜,1070528,1059,臺中市神岡區國道四號7k工地
56,汽車竊盜,1070530,0550,臺中市大里區東湖里忠孝路80巷
57,汽車竊盜,1070607,2100,臺中市北屯區麻園西街
58,汽車竊盜,1070610,1900,臺中市西屯區中清路2段
59,汽車竊盜,1070613,0039,臺中市梧棲區永安里中華路1段
60,汽車竊盜,1070614,0300,臺中市太平區光興路與德利路
61,汽車竊盜,1070616,1146,臺中市豐原區圓環西路榮春街口
62,汽車竊盜,1070617,0927,臺中市豐原區南陽路
63,汽車竊盜,1070627,1320,臺中市大肚區沙田路3段
64,汽車竊盜,1070701,0350,臺中市西屯區國際街83巷
65,汽車竊盜,1070704,0506,臺中市太平區長安路322巷
66,汽車竊盜,1070706,0806,臺中市清水區民族路3段356巷
67,汽車竊盜,1070715,1107,臺中市大雅區和平路
68,汽車竊盜,1070718,0730,臺中市大甲區日南路
69,汽車竊盜,1070718,1955,臺中市東區七中路與興大路
70,汽車竊盜,1070720,0730,臺中市東區長福路
71,汽車竊盜,1070721,0716,臺中市大甲區經國路
72,汽車竊盜,1070722,1320,臺中市北屯區經補庫停車場
73,汽車竊盜,1070728,0900,臺中市北屯區新興路191巷
74,汽車竊盜,1070730,0500,臺中市大甲區中山路一段與金華西街
75,汽車竊盜,1070801,1052,臺中市西屯區臺灣大道4段
76,汽車竊盜,1070803,0330,臺中市太平區永成北路66巷
77,汽車竊盜,1070806,1340,臺中市潭子區雅潭路2段292巷
78,汽車竊盜,1070806,1913,臺中市豐原區豐原大道4段
79,汽車竊盜,1070809,1100,臺中市南屯區春社里培德路
80,汽車竊盜,1070809,2220,臺中市豐原區豐勢路1段
81,汽車竊盜,1070813,0811,臺中市大里區健民里久居街
82,汽車竊盜,1070815,1700,臺中市東區東光路與力行路
83,汽車竊盜,1070818,2120,臺中市大甲區奉化里經國路
84,汽車竊盜,1070820,2320,臺中市神岡區大豐北街
85,汽車竊盜,1070825,0434,臺中市烏日區建國路
86,汽車竊盜,1070828,0248,臺中市太平區光興路
87,汽車竊盜,1070829,2350,臺中市豐原區豐原大道7段
88,汽車竊盜,1070904,2226,臺中市東區南京東路
89,汽車竊盜,1070905,0700,臺中市大里區里科街
90,汽車竊盜,1070908,1130,臺中市霧峰區中投東路1段北岸路
91,汽車竊盜,1070909,1340,臺中市大甲區中山路二段與黎明路
92,汽車竊盜,1070911,0740,臺中市大雅區
93,汽車竊盜,1070913,0530,臺中市外埔區甲東路
94,汽車竊盜,1070914,1600,臺中市霧峰區中正路78巷
95,汽車竊盜,1070919,1901,臺中市中區興中街與福音街
96,汽車竊盜,1070919,2112,臺中市沙鹿區晉文路286巷
97,汽車竊盜,1070924,1630,臺中市后里區月眉東路
98,汽車竊盜,1070927,0600,臺中市沙鹿區平等七街與平等路
99,汽車竊盜,1070928,0040,臺中市北區中清路1段
100,汽車竊盜,1070929,0800,臺中市西屯區中平路與廣吉一街
101,汽車竊盜,1070930,0828,臺中市豐原區瑞安街
