編號,案類,發生日期,發生時間,發生地點
1,住宅竊盜,1050105,0345,臺中市西區美村路1段118巷
2,住宅竊盜,1050105,1100,臺中市豐原區豐勢路二段819巷
3,住宅竊盜,1050108,0000,臺中市西屯區漢口路2段
4,住宅竊盜,1050108,2150,臺中市潭子區豐興路二段338巷
5,住宅竊盜,1050112,1540,臺中市北屯區平陽里河北一街
6,住宅竊盜,1050113,2225,臺中市北區北平路2段
7,住宅竊盜,1050115,1200,臺中市南區平順街
8,住宅竊盜,1050118,1200,臺中市龍井區藝術南街
9,住宅竊盜,1050120,0500,臺中市南區新華街
10,住宅竊盜,1050121,0800,臺中市豐原區豐東路118巷
11,住宅竊盜,1050201,0900,臺中市烏日區中山路1段
12,住宅竊盜,1050202,1700,臺中市中區自由路2段
13,住宅竊盜,1050203,1000,臺中市東區富榮街
14,住宅竊盜,1050207,1000,臺中市北區東光東街
15,住宅竊盜,1050208,0055,臺中市北區永興街298巷
16,住宅竊盜,1050208,1600,臺中市新社區上水底寮小段
17,住宅竊盜,1050214,1019,臺中市東區台中路127巷
18,住宅竊盜,1050215,0245,臺中市西屯區逢福里14鄰惠來路3段260-1巷
19,住宅竊盜,1050215,0800,臺中市神岡區溪頭路
20,住宅竊盜,1050215,1200,臺中市北區中清路1段880巷
21,住宅竊盜,1050216,1500,臺中市南區忠孝路
22,住宅竊盜,1050218,1103,臺中市神岡區豐洲路135巷
23,住宅竊盜,1050219,1319,臺中市南區國光路238巷
24,住宅竊盜,1050220,1200,臺中市西屯區臺灣大道3段
25,住宅竊盜,1050221,0800,臺中市太平區振福路31巷
26,住宅竊盜,1050221,2300,臺中市大雅區神林南路173巷
27,住宅竊盜,1050223,1200,臺中市西屯區永安里西林巷
28,住宅竊盜,1050223,1350,臺中市北區民族路
29,住宅竊盜,1050223,1730,臺中市大雅區大雅路
30,住宅竊盜,1050224,1910,臺中市北區北屯路47巷
31,住宅竊盜,1050226,0115,臺中市西區民生路
32,住宅竊盜,1050226,0115,臺中市西區東興路3段
33,住宅竊盜,1050227,1300,臺中市豐原區豐南街92巷
34,住宅竊盜,1050228,0200,臺中市東區大振街123巷
35,住宅竊盜,1050229,0300,臺中市西區大全街
