編號,案類,發生日期,發生時間,發生地點
1,汽車竊盜,1050110,1100,臺中市北屯區軍功里37鄰軍榮六街
2,汽車竊盜,1050111,1200,臺中市西屯區市政北七路朝富路
3,汽車竊盜,1050111,2106,臺中市北區育德路尚德街與中清路之間
4,汽車竊盜,1050113,0438,臺中市中區臺灣大道1段
5,汽車竊盜,1050114,0430,臺中市豐原區北陽一街
6,汽車竊盜,1050114,2245,臺中市大里區大明路
7,汽車竊盜,1050116,0130,臺中市東區南京六街與南京二街
8,汽車竊盜,1050116,0900,臺中市神岡區圳岸路
9,汽車竊盜,1050117,0510,臺中市太平區宜文街
10,汽車竊盜,1050119,0730,臺中市中區光復路
11,汽車竊盜,1050120,1420,臺中市豐原區文賢街
12,汽車竊盜,1050123,0610,臺中市潭子區大通街73巷
13,汽車竊盜,1050128,1100,臺中市沙鹿區七賢南路
14,汽車竊盜,1050129,0600,臺中市南屯區中和里中和北二巷
15,汽車竊盜,1050129,1028,臺中市太平區新福東街
16,汽車竊盜,1050129,1530,臺中市后里區甲后路
17,汽車竊盜,1050130,1330,臺中市南區建國北路與美村路
18,汽車竊盜,1050131,0430,臺中市外埔區新厝路
19,汽車竊盜,1050201,1130,臺中市西區建國路、康樂街
20,汽車竊盜,1050202,1040,臺中市潭子區豐興路一段400巷
21,汽車竊盜,1050204,0354,臺中市西屯區中平路與順平一街
22,汽車竊盜,1050205,1020,臺中市大甲區新美街91巷
23,汽車竊盜,1050211,2213,臺中市北屯區東山路1段
24,汽車竊盜,1050211,2330,臺中市大甲區文武路
25,汽車竊盜,1050212,0420,臺中市西屯區林厝里福雅路
26,汽車竊盜,1050216,0240,臺中市北屯區更生巷
27,汽車竊盜,1050217,0129,臺中市大里區仁化路
28,汽車竊盜,1050223,0630,臺中市外埔區土城北路
29,汽車竊盜,1050224,0020,臺中市西屯區臺灣大道4段
30,汽車竊盜,1050227,0407,臺中市大里區大里路東里路
31,汽車竊盜,1050228,0700,臺中市沙鹿區清泉里東大路2段
32,汽車竊盜,1050228,0700,臺中市東勢區泰興里石城街
33,汽車竊盜,1050229,0750,臺中市豐原區圓環北路與三環路
34,汽車竊盜,1050229,1120,臺中市東區南京東路與精武路
35,汽車竊盜,1050229,1830,臺中市西屯區福順與福裕路
36,汽車竊盜,1050303,0830,臺中市太平區大源18街
37,汽車竊盜,1050304,2130,臺中市東區建成路408巷
38,汽車竊盜,1050306,0043,臺中市西區大忠街
39,汽車竊盜,1050306,2000,臺中市西屯區安和路
40,汽車竊盜,1050307,0800,臺中市大甲區東六路
41,汽車竊盜,1050308,1700,臺中市北屯區北屯路200巷
42,汽車竊盜,1050308,1800,臺中市南屯區三和里益豐東街
43,汽車竊盜,1050309,0700,臺中市東區東英十七街與三賢街
44,汽車竊盜,1050309,1300,臺中市后里區義里甲后路
45,汽車竊盜,1050309,1800,臺中市北屯區柳陽東街
46,汽車竊盜,1050311,0000,臺中市烏日區光明路
47,汽車竊盜,1050311,0930,臺中市外埔區永豐里外埔路
48,汽車竊盜,1050311,0934,臺中市北屯區軍功路2段
49,汽車竊盜,1050311,1000,臺中市西屯區協和里安和路
50,汽車竊盜,1050311,2200,臺中市沙鹿區文昌街
51,汽車竊盜,1050315,1500,臺中市大肚區山陽里沙田路3段
52,汽車竊盜,1050316,0800,臺中市大里區大峰路
53,汽車竊盜,1050316,1000,臺中市北區光大街
54,汽車竊盜,1050316,1430,臺中市沙鹿區東晉十一街
55,汽車竊盜,1050321,0518,臺中市潭子區東寶里大明二路
56,汽車竊盜,1050322,2300,臺中市太平區成功里6鄰東平路375巷
57,汽車竊盜,1050325,0640,臺中市沙鹿區竹林里29鄰福田北街
58,汽車竊盜,1050326,1052,臺中市北區中清路1段
59,汽車竊盜,1050327,1249,臺中市東區立德街
60,汽車竊盜,1050329,0900,臺中市霧峰區本堂里13鄰蘭生街
61,汽車竊盜,1050331,0912,臺中市太平區中山路2段
62,汽車竊盜,1050401,0636,臺中市梧棲區中正里中興路217巷
63,汽車竊盜,1050402,0232,臺中市霧峰區四德里10鄰四德路
64,汽車竊盜,1050403,2059,臺中市東區雙十路與公園東路
65,汽車竊盜,1050404,0610,臺中市大肚區頂街里32鄰大明二街
66,汽車竊盜,1050406,1500,臺中市西區居仁街、繼光街
67,汽車竊盜,1050406,2130,臺中市后里區仁里圳寮路
68,汽車竊盜,1050408,0444,臺中市神岡區大裡街
69,汽車竊盜,1050410,0545,臺中市豐原區水源路
70,汽車竊盜,1050412,0520,臺中市北區梅亭街
71,汽車竊盜,1050412,1700,臺中市豐原區水源路中坑巷
72,汽車竊盜,1050413,0030,臺中市清水區鰲峰路
73,汽車竊盜,1050415,1230,臺中市南區文心南十路
74,汽車竊盜,1050419,0318,臺中市西屯區青海南街靠黎明路
75,汽車竊盜,1050419,1016,臺中市沙鹿區平等路與平等11街
76,汽車竊盜,1050421,0800,臺中市潭子區雅潭路二段與崇德路四段
77,汽車竊盜,1050421,2300,臺中市大甲區順帆路121巷
78,汽車竊盜,1050422,0622,臺中市南屯區惠中里文心路1段
79,汽車竊盜,1050423,0410,臺中市豐原區大社街
80,汽車竊盜,1050425,0700,臺中市太平區中山路2段350巷
81,汽車竊盜,1050425,1130,臺中市太平區長龍路1段
82,汽車竊盜,1050426,1700,臺中市新社區台21線14。5k
83,汽車竊盜,1050427,1600,臺中市豐原區市政路
84,汽車竊盜,1050428,0021,臺中市太平區中山路2段
85,汽車竊盜,1050428,0630,臺中市東區復興路4段
86,汽車竊盜,1050428,0800,臺中市東區十甲路
87,汽車竊盜,1050428,1600,臺中市大雅區通山路
88,汽車竊盜,1050428,2227,臺中市東區東光路200巷
89,汽車竊盜,1050429,2200,臺中市豐原區北陽路
90,汽車竊盜,1050430,1700,臺中市北屯區東光里活動中心旁
91,汽車竊盜,1050501,1200,臺中市北區成功路
92,汽車竊盜,1050501,1200,臺中市烏日區新興路
93,汽車竊盜,1050504,1910,臺中市大里區中興路2段新生西路
94,汽車竊盜,1050506,1740,臺中市沙鹿區台灣大道7段286巷
95,汽車竊盜,1050507,1830,臺中市大雅區神林南路292巷
96,汽車竊盜,1050507,1900,臺中市豐原區豐原大道四段
97,汽車竊盜,1050511,1318,臺中市中區民權路
98,汽車竊盜,1050512,1800,臺中市霧峰區中正路660巷
99,汽車竊盜,1050513,1630,臺中市北屯區同榮里同榮一街
100,汽車竊盜,1050514,1400,臺中市北屯區文昌東八街
101,汽車竊盜,1050515,0747,臺中市西屯區漢口路2段
102,汽車竊盜,1050515,1015,臺中市中區公園路
103,汽車竊盜,1050516,1900,臺中市和平區東關路3段
104,汽車竊盜,1050518,1600,臺中市南屯區文心南、文心南五路
105,汽車竊盜,1050520,0236,臺中市大甲區青一路2巷
106,汽車竊盜,1050523,1900,臺中市北屯區太和三街與建平路
107,汽車竊盜,1050524,0803,臺中市清水區橋頭里民有路
108,汽車竊盜,1050526,1518,臺中市太平區永成西路
109,汽車竊盜,1050530,0610,臺中市西屯區協和里安和路
110,汽車竊盜,1050530,0950,臺中市后里區成功與甲后路
111,汽車竊盜,1050530,1030,臺中市南屯區江和街
112,汽車竊盜,1050603,1140,臺中市豐原區陽明里中興路29巷
113,汽車竊盜,1050604,0600,臺中市西屯區市政北七路與朝富路
114,汽車竊盜,1050610,0235,臺中市西區民生路
115,汽車竊盜,1050611,0810,臺中市太平區宜昌東路
116,汽車竊盜,1050612,0903,臺中市東區東英路429巷
117,汽車竊盜,1050613,0740,臺中市豐原區北陽路450巷
118,汽車竊盜,1050614,0200,臺中市大里區瓦瑤路56巷
119,汽車竊盜,1050617,1430,臺中市大雅區空軍基地旁和平新路邊
120,汽車竊盜,1050618,0530,臺中市太平區振福路476巷
121,汽車竊盜,1050619,0000,臺中市潭子區新興路1段288巷
122,汽車竊盜,1050622,0800,臺中市龍井區中沙路164巷
123,汽車竊盜,1050623,2100,臺中市梧棲區中正路
124,汽車竊盜,1050628,0200,臺中市大雅區永和路
125,汽車竊盜,1050630,0700,臺中市大雅區中清路五段
126,汽車竊盜,1050630,2130,臺中市烏日區大同九街與民權街
127,汽車竊盜,1050702,0900,臺中市西屯區西屯路二段
128,汽車竊盜,1050703,1930,臺中市南屯區春社里忠勇路
129,汽車竊盜,1050705,0350,臺中市梧棲區中央路2段
130,汽車竊盜,1050705,2300,臺中市潭子區潭興路二段332巷
131,汽車竊盜,1050706,0630,臺中市后里區墩北里14鄰甲后路
132,汽車竊盜,1050708,1010,臺中市西屯區天佑街往中工三路路旁停車格
133,汽車竊盜,1050709,0530,臺中市大甲區孟春里經國路
134,汽車竊盜,1050709,0900,臺中市大甲區文曲里中山路1段2巷
135,汽車竊盜,1050711,0730,臺中市西屯區區福瑞街27巷近東大路
136,汽車竊盜,1050715,0520,臺中市梧棲區建國北街
137,汽車竊盜,1050716,0315,臺中市東勢區下新里5鄰粵寧街
138,汽車竊盜,1050719,0730,臺中市清水區?榔里15鄰港口路200巷
139,汽車竊盜,1050719,2100,臺中市龍井區向上路6段
140,汽車竊盜,1050720,1009,臺中市霧峰區吉峰里民生路
141,汽車竊盜,1050721,1400,臺中市西屯區文心路3段
142,汽車竊盜,1050729,0530,臺中市北屯區后庄北路161巷
143,汽車竊盜,1050729,0614,臺中市東區天乙街
144,汽車竊盜,1050729,0700,臺中市太平區長億南二街27巷
