編號,案類,發生日期,發生時間,發生地點
106,機車竊盜,1050408,0130,臺中市北區南京東路與富強街口
107,機車竊盜,1050409,1800,臺中市北區錦新街
108,機車竊盜,1050409,1830,臺中市西屯區青海路一段
109,機車竊盜,1050409,2236,臺中市北區民權路359巷
110,機車竊盜,1050411,0820,臺中市大里區德芳南路德芳南一街附近
111,機車竊盜,1050416,0430,臺中市北區梅川東路3段
112,機車竊盜,1050417,0400,臺中市豐原區北陽路
113,機車竊盜,1050417,2000,臺中市潭子區大豐路三段3巷口
114,機車竊盜,1050418,0558,臺中市東區雙十路與南京路口
115,機車竊盜,1050418,1300,臺中市北屯區梅川東路四段
116,機車竊盜,1050419,0730,臺中市大雅區永和路與上山路口
117,機車竊盜,1050419,2100,臺中市中區臺灣大道1段
118,機車竊盜,1050420,0830,臺中市豐原區圓環南路60巷
119,機車竊盜,1050421,0600,臺中市太平區民族路
120,機車竊盜,1050421,0600,臺中市烏日區光日路
121,機車竊盜,1050422,0600,臺中市西屯區福上巷
122,機車竊盜,1050422,1021,臺中市西屯區工業區五路
123,機車竊盜,1050422,1900,臺中市北區金龍街
124,機車竊盜,1050423,0100,臺中市東勢區東蘭路永盛巷
125,機車竊盜,1050423,0900,臺中市南區大慶街2段
126,機車竊盜,1050423,1240,臺中市后里區雲頭路農業道路
127,機車竊盜,1050424,1358,臺中市北區原子街
128,機車竊盜,1050425,0710,臺中市中區台灣大道
129,機車竊盜,1050425,1100,臺中市豐原區向陽路6巷
130,機車竊盜,1050427,1227,臺中市西區華美西街1段
131,機車竊盜,1050427,2046,臺中市中區民權、市府路
132,機車竊盜,1050428,0400,臺中市潭子區豐興路1段
133,機車竊盜,1050428,2130,臺中市北區公園路自由路口
134,機車竊盜,1050429,0330,臺中市中區民權路
135,機車竊盜,1050501,0630,臺中市梧棲區文華街118巷
136,機車竊盜,1050501,0830,臺中市梧棲區文華街28巷
137,機車竊盜,1050502,1515,臺中市潭子區祥和路
138,機車竊盜,1050502,1730,臺中市太平區新平路3段346巷
139,機車竊盜,1050503,0640,臺中市北屯區平田里遼陽北一街
140,機車竊盜,1050504,1520,臺中市神岡區大洲路
141,機車竊盜,1050505,0000,臺中市西屯區臺灣大道4段
142,機車竊盜,1050505,0930,臺中市北區武昌街
143,機車竊盜,1050505,1832,臺中市北屯區天津路4段
144,機車竊盜,1050506,0605,臺中市東勢區北興里豐勢路
145,機車竊盜,1050506,0746,臺中市豐原區中正路
146,機車竊盜,1050506,1930,臺中市后里區甲后路
147,機車竊盜,1050506,2200,臺中市北區太原八街
148,機車竊盜,1050509,0600,臺中市龍井區臨港東路2段315巷
149,機車竊盜,1050511,2300,臺中市大雅區雅環路二段221巷
150,機車竊盜,1050512,1437,臺中市神岡區大漢街
151,機車竊盜,1050513,0000,臺中市南屯區永春北路
152,機車竊盜,1050513,0835,臺中市大雅區中清東路
153,機車竊盜,1050514,0438,臺中市西區梅川西路2段
154,機車竊盜,1050516,1100,臺中市太平區東村八街13巷
155,機車竊盜,1050518,0039,臺中市烏日區自立街
156,機車竊盜,1050519,1955,臺中市大里區中新里現岱路
157,機車竊盜,1050520,0000,臺中市西屯區臺灣大道4段
158,機車竊盜,1050520,2300,臺中市潭子區中山路
159,機車竊盜,1050526,0030,臺中市北區英士路
160,機車竊盜,1050529,1730,臺中市北區進化北路
161,機車竊盜,1050530,1000,臺中市大甲區中山路
162,機車竊盜,1050601,1100,臺中市北區梅亭街
163,機車竊盜,1050602,0000,臺中市沙鹿區晉文路
164,機車竊盜,1050602,1302,臺中市西屯區港尾里中清路2段
165,機車竊盜,1050604,2310,臺中市沙鹿區台灣大道9段
166,機車竊盜,1050605,0600,臺中市東區東學街後巷
167,機車竊盜,1050605,2130,臺中市外埔區土城北路
168,機車竊盜,1050608,1000,臺中市梧棲區梧南路
169,機車竊盜,1050608,1300,臺中市北區精武路
170,機車竊盜,1050609,0100,臺中市大雅區大榮街106巷口
171,機車竊盜,1050611,1400,臺中市霧峰區吉峰西路74巷
172,機車竊盜,1050612,0200,臺中市中區成功路與綠川東街口
173,機車竊盜,1050612,1429,臺中市南屯區文心路1段
174,機車竊盜,1050612,2312,臺中市潭子區興華一路
