編號,案類,發生日期,發生時間,發生地點
1,機車竊盜,1080101,0530,台中市大肚區育英路
2,機車竊盜,1080101,0700,台中市東區南京路
3,機車竊盜,1080101,1300,台中市南屯區春社里永春南路
4,機車竊盜,1080103,1925,台中市大里區大德街
5,機車竊盜,1080105,1011,台中市西區臺灣大道2段
6,機車竊盜,1080106,2015,台中市北區五權路
7,機車竊盜,1080107,0930,台中市霧峰區南柳里福新路
8,機車竊盜,1080109,0851,台中市西區自由路1段
9,機車竊盜,1080110,0645,台中市太平區樹孝路
10,機車竊盜,1080111,1302,台中市北區健行路
11,機車竊盜,1080111,1844,台中市梧棲區興農路
12,機車竊盜,1080112,0508,台中市西區博館二街211巷
13,機車竊盜,1080112,1930,台中市中區繼光街
14,機車竊盜,1080113,1840,台中市南屯區公益路2段
15,機車竊盜,1080116,0210,台中市神岡區和睦路一段
16,機車竊盜,1080118,1122,台中市大里區上興街2段
17,機車竊盜,1080120,1200,台中市大里區國光路2段
18,機車竊盜,1080126,0830,台中市南屯區文昌街226巷
19,機車竊盜,1080128,0810,台中市南屯區文心路1段
20,機車竊盜,1080128,0810,台中市南屯區惠中里文心路1段
21,機車竊盜,1080128,1630,台中市南屯區文心路1段
22,機車竊盜,1080129,1000,台中市東區臺中路
23,機車竊盜,1080131,0621,台中市西區精誠路
24,機車竊盜,1080204,0022,台中市太平區中山路2段
25,機車竊盜,1080204,0300,台中市南區東興路三段
26,機車竊盜,1080206,2320,台中市東區土牛夜市
27,機車竊盜,1080207,1800,台中市東區八德街
28,機車竊盜,1080208,1755,台中市東區復興路五段
29,機車竊盜,1080209,0810,台中市北區金龍里衛道路35巷
30,機車竊盜,1080210,1200,台中市西屯區青海路2段
31,機車竊盜,1080211,0900,台中市太平區中山路3段
32,機車竊盜,1080213,0900,台中市潭子區中山路三段
33,機車竊盜,1080215,0730,台中市太平區新民路26巷
34,機車竊盜,1080217,0250,台中市南屯區田心里惠弘街
35,機車竊盜,1080219,1115,台中市大甲區鎮瀾街103巷
36,機車竊盜,1080220,0850,台中市太平區新高東路
37,機車竊盜,1080223,0645,台中市北屯區熱河路
38,機車竊盜,1080224,0159,台中市梧棲區居仁街60巷
39,機車竊盜,1080224,0400,台中市梧棲區居仁街60巷
40,機車竊盜,1080224,0400,台中市梧棲區居仁街60巷
41,機車竊盜,1080226,1648,台中市南屯區惠中里大墩路
42,機車竊盜,1080306,0930,台中市北區育才北路
43,機車竊盜,1080307,0900,台中市南區美村南路94巷
44,機車竊盜,1080308,0017,台中市烏日區溪南路2段169巷
45,機車竊盜,1080313,2046,台中市大里區德芳南路
46,機車竊盜,1080314,1830,台中市南區中興大學人行道
47,機車竊盜,1080315,0115,台中市北屯區東光路
48,機車竊盜,1080318,1300,台中市東區十甲東路
49,機車竊盜,1080320,0500,台中市南區忠明南路
50,機車竊盜,1080321,1043,台中市北區英才路
51,機車竊盜,1080325,2200,台中市西區三民路一段
52,機車竊盜,1080326,1801,台中市南區復興路2段71巷
53,機車竊盜,1080327,1406,台中市清水區華江南街1段
54,機車竊盜,1080401,0355,台中市東區復興路5段
55,機車竊盜,1080401,1730,台中市大甲區民權路
56,機車竊盜,1080401,2349,台中市中區自由路2段
57,機車竊盜,1080402,0900,台中市北區三民路
58,機車竊盜,1080404,0510,台中市北區五順街
59,機車竊盜,1080407,0853,台中市西屯區至善路
60,機車竊盜,1080411,0536,台中市南屯區黎明路2段
61,機車竊盜,1080414,1548,台中市霧峰區民生路
62,機車竊盜,1080417,1900,台中市大里區塗城路
63,機車竊盜,1080421,1933,台中市西區公益路
64,機車竊盜,1080425,0851,台中市南屯區春社里中台路
65,機車竊盜,1080430,1710,台中市大甲區日南里中山路2段
66,機車竊盜,1080430,1900,台中市后里區梅里路
67,機車竊盜,1080504,1800,台中市東區復興路4段259巷
68,機車竊盜,1080507,1430,台中市太平區新福路33巷
69,機車竊盜,1080510,1500,台中市外埔區三崁里甲后路3段627巷
70,機車竊盜,1080510,2134,台中市外埔區甲后路5段128巷
71,機車竊盜,1080511,0953,台中市梧棲區四維路22巷
72,機車竊盜,1080513,1930,台中市大里區新光路
73,機車竊盜,1080517,1400,台中市西屯區三民路二段
74,機車竊盜,1080520,0400,台中市豐原區鎌村路605巷
75,機車竊盜,1080521,1754,台中市東區新民街
76,機車竊盜,1080521,2100,台中市豐原區中陽里同安街
77,機車竊盜,1080523,2233,台中市大甲區三民路
78,機車竊盜,1080526,0857,台中市中區公園路
79,機車竊盜,1080528,2010,台中市豐原區豐東路
80,機車竊盜,1080530,0940,台中市龍井區沙田路6段
81,機車竊盜,1080608,2200,台中市東勢區東關路7段
82,機車竊盜,1080609,0734,台中市西區模範街213巷
83,機車竊盜,1080609,0910,台中市豐原區中山路1段7巷
84,機車竊盜,1080617,1048,台中市北區進化北路
85,機車竊盜,1080629,1709,台中市大甲區順天路
