編號,案類,發生日期,發生時間,發生地點
1,機車竊盜,1070105,2322,臺中市東區進德一街與南京二街口
2,機車竊盜,1070107,1400,臺中市西屯區西屯路三段159之11巷
3,機車竊盜,1070109,1730,臺中市沙鹿區沙田路
4,機車竊盜,1070111,1640,臺中市太平區大源路
5,機車竊盜,1070112,0845,臺中市南區公理街
6,機車竊盜,1070115,1240,臺中市大肚區榮華街179巷
7,機車竊盜,1070116,0341,臺中市沙鹿區鎮南路2段
8,機車竊盜,1070117,1210,臺中市大里區工業路23巷
9,機車竊盜,1070117,1230,臺中市西屯區臺灣大道4段
10,機車竊盜,1070118,1145,臺中市霧峰區中正路
11,機車竊盜,1070118,1730,臺中市東區進化路
12,機車竊盜,1070119,0700,臺中市中區雙十路1段
13,機車竊盜,1070119,0917,臺中市北區三民路3段
14,機車竊盜,1070122,0700,臺中市豐原區南陽路南陽新村
15,機車竊盜,1070122,1900,臺中市清水區中華路
16,機車竊盜,1070122,1947,臺中市西屯區西屯路二段
17,機車竊盜,1070122,2230,臺中市北屯區東山路與環中路口
18,機車竊盜,1070123,2305,臺中市太平區新興二街126巷
19,機車竊盜,1070124,1920,臺中市北區漢口路4段
20,機車竊盜,1070130,0000,臺中市西區向上路1段258巷
21,機車竊盜,1070201,1214,臺中市大里區永隆路
22,機車竊盜,1070201,1217,臺中市南屯區惠中里文心路1段
23,機車竊盜,1070202,0500,臺中市梧棲區四維中路169巷
24,機車竊盜,1070203,0330,臺中市豐原區鎌村路
25,機車竊盜,1070203,1400,臺中市烏日區成功西路
26,機車竊盜,1070204,2200,臺中市豐原區一心路
27,機車竊盜,1070208,0957,臺中市太平區長億南二街26巷
28,機車竊盜,1070210,1100,臺中市大里區中興路一段泉水巷
29,機車竊盜,1070213,1350,臺中市北區興進路
30,機車竊盜,1070215,0100,臺中市沙鹿區保成路
31,機車竊盜,1070216,1605,臺中市后里區墩南里三豐路3段
32,機車竊盜,1070218,0240,臺中市豐原區田心路2段99巷
33,機車竊盜,1070218,2324,臺中市西屯區工業區一路
34,機車竊盜,1070220,1000,臺中市中區臺灣大道1段
35,機車竊盜,1070222,1000,臺中市后里區南村路303巷
36,機車竊盜,1070224,0800,臺中市豐原區田心路2段267巷
37,機車竊盜,1070225,0225,臺中市大里區健民里銀聯路
38,機車竊盜,1070226,1540,臺中市大甲區中山路一段與南陽路口
39,機車竊盜,1070227,1159,臺中市大里區中興路2段
40,機車竊盜,1070228,1945,臺中市沙鹿區北中六街
41,機車竊盜,1070301,0630,臺中市沙鹿區中山路502巷
42,機車竊盜,1070304,0400,臺中市西屯區逢甲路
43,機車竊盜,1070304,2336,臺中市中區綠川西街
44,機車竊盜,1070305,0357,臺中市中區綠川東街
45,機車竊盜,1070306,2130,臺中市太平區永平南路
46,機車竊盜,1070308,0632,臺中市北區五權路
47,機車竊盜,1070309,0450,臺中市南屯區文心路1段
48,機車竊盜,1070311,0738,臺中市中區民權路與柳川西街口
49,機車竊盜,1070312,0127,臺中市南區合作街34巷
50,機車竊盜,1070313,1600,臺中市西屯區福星路
51,機車竊盜,1070313,1700,臺中市北區崇興路2段
52,機車竊盜,1070314,0158,臺中市豐原區新生北路與信義街口
53,機車竊盜,1070315,1230,臺中市南屯區春社里永春南路61巷
54,機車竊盜,1070316,0730,臺中市中區建國路159巷
55,機車竊盜,1070316,1400,臺中市南屯區春安里嶺東南路
56,機車竊盜,1070316,1625,臺中市北區五義街
57,機車竊盜,1070316,1648,臺中市潭子區福潭路
58,機車竊盜,1070321,1042,臺中市西區自由路1段
59,機車竊盜,1070323,0935,臺中市大雅區中清路三段
60,機車竊盜,1070323,0936,臺中市大雅區大雅路
61,機車竊盜,1070323,1036,臺中市大雅區雅環路二段
62,機車竊盜,1070323,2136,臺中市西屯區中清西二街92巷
63,機車竊盜,1070325,2000,臺中市中區中華路1段
64,機車竊盜,1070325,2100,臺中市大里區東興路
65,機車竊盜,1070327,1933,臺中市北區健行路
66,機車竊盜,1070328,2230,臺中市大里區德芳南街
67,機車竊盜,1070329,1900,臺中市龍井區中沙路
68,機車竊盜,1070330,1935,臺中市北屯區文心路4段
69,機車竊盜,1070331,0025,臺中市中區綠川西街
70,機車竊盜,1070401,1939,臺中市大里區塗城路456巷
71,機車竊盜,1070402,0040,臺中市太平區中山路1段159巷
72,機車竊盜,1070404,2230,臺中市大里區文心南路1191巷
73,機車竊盜,1070405,0144,臺中市后里區后里火車站旁機車停放區
74,機車竊盜,1070405,0410,臺中市東區八德街與武德街口
75,機車竊盜,1070406,0040,臺中市大雅區民生路三段
76,機車竊盜,1070406,1400,臺中市東區復興路4段
77,機車竊盜,1070407,1942,臺中市大肚區太平路8巷
78,機車竊盜,1070408,1900,臺中市南區理街
79,機車竊盜,1070409,1400,臺中市西屯區中清西二街
80,機車竊盜,1070411,1822,臺中市北屯區柳陽東街
81,機車竊盜,1070412,1700,臺中市豐原區鎌村路465巷口
82,機車竊盜,1070413,1800,臺中市清水區神清路
83,機車竊盜,1070413,2043,臺中市龍井區臨港路2段
84,機車竊盜,1070415,1800,臺中市大甲區大安港路53巷
85,機車竊盜,1070416,0700,臺中市南區永東街
86,機車竊盜,1070416,2156,臺中市西區大全街11巷
87,機車竊盜,1070417,2000,臺中市神岡區神洲路866巷
88,機車竊盜,1070418,1230,臺中市豐原區中正路
89,機車竊盜,1070418,1230,臺中市豐原區中正路
90,機車竊盜,1070419,1720,臺中市神岡區神清路五八砲兵指揮部營區旁
91,機車竊盜,1070420,0430,臺中市南區和昌街
92,機車竊盜,1070421,2000,臺中市太平區大源十七街
93,機車竊盜,1070422,1918,臺中市大里區東南路148巷
94,機車竊盜,1070424,1100,臺中市中區綠川東街與成功路口
95,機車竊盜,1070425,2239,臺中市東區自由路與自由二街口
96,機車竊盜,1070427,1545,臺中市北區五常街與育德街
97,機車竊盜,1070429,0240,臺中市烏日區五光路318巷
98,機車竊盜,1070429,2100,臺中市中區自由路2段
99,機車竊盜,1070501,0900,臺中市神岡區神清路
100,機車竊盜,1070502,0622,臺中市后里區甲后路1段716巷
101,機車竊盜,1070502,1420,臺中市神岡區神清路
102,機車竊盜,1070503,1809,臺中市南屯區大業里公益路與大進街
103,機車竊盜,1070506,0010,臺中市太平區中山路2段
104,機車竊盜,1070506,0700,臺中市西屯區漢口路2段
105,機車竊盜,1070506,0800,臺中市北屯區后庄七街160巷
106,機車竊盜,1070507,0430,臺中市西屯區何厝街與何厝街112巷口
107,機車竊盜,1070507,2200,臺中市西區美村路1段188巷
108,機車竊盜,1070507,2209,臺中市西區美村路1段188巷
109,機車竊盜,1070507,2352,臺中市西屯區長安路2段
110,機車竊盜,1070508,0400,臺中市烏日區站區一路
111,機車竊盜,1070509,0155,臺中市北區錦新街
112,機車竊盜,1070510,0730,臺中市中區中華路1段60巷
113,機車竊盜,1070511,1230,臺中市西區柳川西路2段
114,機車竊盜,1070511,1530,臺中市南屯區文心路1段
115,機車竊盜,1070512,1000,臺中市神岡區和睦路一段
116,機車竊盜,1070512,1055,臺中市神岡區和睦路一段
117,機車竊盜,1070514,0356,臺中市大里區益民路2段
118,機車竊盜,1070516,0630,臺中市大里區新生路140巷
119,機車竊盜,1070516,2030,臺中市南屯區三義里河南路4段
120,機車竊盜,1070516,2300,臺中市西區忠勤街
121,機車竊盜,1070517,0909,臺中市神岡區三民路
122,機車竊盜,1070517,1630,臺中市梧棲區大仁路2段353巷
123,機車竊盜,1070518,1800,臺中市烏日區高鐵東路與高鐵一路口
124,機車竊盜,1070519,0640,臺中市北區中清路與漢口路口
125,機車竊盜,1070519,0730,臺中市南區五權南路
126,機車竊盜,1070519,2130,臺中市北屯區文昌東12街
127,機車竊盜,1070519,2330,臺中市北區北平路1段
128,機車竊盜,1070520,2030,臺中市北屯區北屯路
129,機車竊盜,1070520,2102,臺中市北屯區北屯路
130,機車竊盜,1070522,1200,臺中市北區雙十路2段
131,機車竊盜,1070523,1245,臺中市龍井區中沙路南寮巷
132,機車竊盜,1070525,0800,臺中市北屯區太原路三段352巷
133,機車竊盜,1070526,0655,臺中市龍井區臨港東路1段
134,機車竊盜,1070527,1500,臺中市龍井區蔗南路
135,機車竊盜,1070527,1819,臺中市中區民權路與綠川西街口
136,機車竊盜,1070528,1358,臺中市中區光復路合作大樓
137,機車竊盜,1070529,0245,臺中市沙鹿區臺灣大道7段與英才路
138,機車竊盜,1070530,1400,臺中市龍井區中沙路南寮巷
139,機車竊盜,1070601,0300,臺中市東區雙十路1段
140,機車竊盜,1070601,0334,臺中市北區臺灣大道1段
141,機車竊盜,1070601,0500,臺中市沙鹿區中山路195巷
142,機車竊盜,1070602,2030,臺中市大肚區沙田路1段
143,機車竊盜,1070605,1700,臺中市大里區塗城路
144,機車竊盜,1070605,1857,臺中市大里區益民路2段285巷
145,機車竊盜,1070606,1700,臺中市南區復興路3段
146,機車竊盜,1070606,1915,臺中市豐原區中陽路537巷
147,機車竊盜,1070607,1100,臺中市北區公園路
148,機車竊盜,1070608,0445,臺中市西屯區環中路3段
149,機車竊盜,1070608,1714,臺中市大肚區沙田路1段
150,機車竊盜,1070609,1750,臺中市豐原區鐮村路107巷
151,機車竊盜,1070611,1530,臺中市北區中清路
152,機車竊盜,1070612,0755,臺中市北區陝西東三街31巷
153,機車竊盜,1070612,1430,臺中市北區陝西東四街
154,機車竊盜,1070612,1943,臺中市大里區東榮路
155,機車竊盜,1070613,2200,臺中市大里區三民二街
156,機車竊盜,1070614,1459,臺中市東區復興路4段
157,機車竊盜,1070615,0232,臺中市北區陝西東四街與武漢街
