編號,案類,發生日期,發生時間,發生地點
1,住宅竊盜,1060102,0800,臺中市西屯區福科路
2,住宅竊盜,1060110,1310,臺中市大雅區神林南路313巷
3,住宅竊盜,1060111,0840,臺中市大雅區昌平路四段282南13巷
4,住宅竊盜,1060112,0931,臺中市神岡區溪洲路
5,住宅竊盜,1060115,0800,臺中市北屯區安順東五街
6,住宅竊盜,1060116,1200,臺中市豐原區三豐路二段237巷
7,住宅竊盜,1060118,1530,臺中市北屯區平昌里文心路4段
8,住宅竊盜,1060121,1000,臺中市北區賴厝里4鄰綏遠路1段
9,住宅竊盜,1060123,1800,臺中市潭子區潭陽路98巷
10,住宅竊盜,1060125,1000,臺中市東區建中街
11,住宅竊盜,1060125,1130,臺中市北屯區大坑里7鄰東山路2段
12,住宅竊盜,1060127,2110,臺中市北屯區雷中街
13,住宅竊盜,1060128,2110,臺中市北屯區水景里18鄰景賢路
14,住宅竊盜,1060128,2128,臺中市豐原區南陽路158巷
15,住宅竊盜,1060129,2041,臺中市東區進德路47巷
16,住宅竊盜,1060130,0126,臺中市大雅區大林街271巷
17,住宅竊盜,1060130,2051,臺中市龍井區南新路40號
18,住宅竊盜,1060201,0640,臺中市北屯區北京里17鄰進化路
19,住宅竊盜,1060204,2357,臺中市東區立德街
20,住宅竊盜,1060205,0346,臺中市神岡區五權路
21,住宅竊盜,1060206,0000,臺中市豐原區中山路231號
22,住宅竊盜,1060206,0400,臺中市北區一中街
23,住宅竊盜,1060206,0728,臺中市烏日區文德街
24,住宅竊盜,1060207,0930,臺中市北屯區軍福十八路
25,住宅竊盜,1060209,0900,臺中市西區西屯路1段
26,住宅竊盜,1060211,1030,臺中市北區進化北路336巷
27,住宅竊盜,1060211,1200,臺中市北區永興路
28,住宅竊盜,1060211,2200,臺中市北屯區仁和里18鄰松竹北二街
29,住宅竊盜,1060214,0420,臺中市西屯區大河里20鄰櫻花路74巷
30,住宅竊盜,1060218,1010,臺中市西屯區西安街
31,住宅竊盜,1060219,1740,臺中市烏日區明德街
32,住宅竊盜,1060223,0458,臺中市豐原區中正路
33,住宅竊盜,1060223,1215,臺中市南區忠明南路
34,住宅竊盜,1060225,1220,臺中市太平區環中東路4段
35,住宅竊盜,1060228,1430,臺中市大雅區大林路140巷
36,住宅竊盜,1060304,2145,臺中市北屯區遼寧路1段
37,住宅竊盜,1060305,0300,臺中市龍井區臺灣大道5段
38,住宅竊盜,1060305,2017,臺中市北區民權路359巷
39,住宅竊盜,1060306,1000,臺中市南區建成路1784巷
40,住宅竊盜,1060306,1056,臺中市大雅區雅潭路四段661巷
41,住宅竊盜,1060308,1915,臺中市大甲區幸福里2鄰經國路
42,住宅竊盜,1060308,2159,臺中市龍井區遊園南路101巷
43,住宅竊盜,1060309,1215,臺中市大雅區月祥路
44,住宅竊盜,1060311,1730,臺中市豐原區和平街13巷
45,住宅竊盜,1060312,0630,臺中市潭子區榮興街83巷
46,住宅竊盜,1060312,1900,臺中市潭子區大富路3段197巷
47,住宅竊盜,1060313,1311,臺中市北區篤行路
48,住宅竊盜,1060314,0250,臺中市烏日區永春東三南路
49,住宅竊盜,1060315,0945,臺中市北屯區軍功里22鄰一新一街
50,住宅竊盜,1060315,1000,臺中市北區衛道路
51,住宅竊盜,1060320,1505,臺中市太平區長龍路2段565巷
52,住宅竊盜,1060325,1200,臺中市西區三民路1段50巷
53,住宅竊盜,1060325,2100,臺中市西屯區市政北七路
54,住宅竊盜,1060327,1540,臺中市南區復興路2段
55,住宅竊盜,1060329,0430,臺中市西屯區中康一街14巷
56,住宅竊盜,1060330,1400,臺中市大雅區月祥路777巷
57,住宅竊盜,1060401,0520,臺中市清水區大街路
58,住宅竊盜,1060404,1430,臺中市和平區東關路1段
59,住宅竊盜,1060406,0507,臺中市霧峰區本堂里中正路875巷
60,住宅竊盜,1060410,0000,臺中市西區精誠路
61,住宅竊盜,1060413,2000,臺中市北區篤行路
62,住宅竊盜,1060414,0521,臺中市西屯區何安里何厝街
63,住宅竊盜,1060415,2200,臺中市北區健行路
64,住宅竊盜,1060415,2330,臺中市東區忠孝路290巷
65,住宅竊盜,1060418,1030,臺中市南屯區南興巷29號
66,住宅竊盜,1060425,1120,臺中市北屯區敦化敦化路1段
67,住宅竊盜,1060427,1900,臺中市北屯區和平里33鄰軍功東街
68,住宅竊盜,1060501,0000,臺中市南屯區黎明里干城街200巷
69,住宅竊盜,1060501,0900,臺中市潭子區昌平路4段
70,住宅竊盜,1060502,0738,臺中市南屯區永春路
