編號,案類,發生日期,發生時間,發生地點
96,汽車竊盜,1060721,0600,臺中市豐原區角潭路2段
97,汽車竊盜,1060721,1600,臺中市龍井區東海街
98,汽車竊盜,1060721,1600,臺中市清水區國姓里三美路
99,汽車竊盜,1060723,0117,臺中市大里區中興路2段747巷
100,汽車竊盜,1060724,0500,臺中市北區中清路與漢口路
101,汽車竊盜,1060726,0510,臺中市大雅區平和南街239巷
102,汽車竊盜,1060727,0730,臺中市北屯區安順東四街
103,汽車竊盜,1060728,0106,臺中市南區文心南路與建國南路
104,汽車竊盜,1060731,0630,臺中市西屯區臺灣大道四段1762巷內
105,汽車竊盜,1060808,2200,臺中市中區大誠里25鄰福音停車場內
106,汽車竊盜,1060809,0350,臺中市南屯區文山三街與保安七街
107,汽車竊盜,1060810,0740,臺中市清水區三美路
108,汽車竊盜,1060811,0415,臺中市北屯區水景里東山路1段
109,汽車竊盜,1060811,1100,臺中市南屯區保安一街與七星北街
110,汽車竊盜,1060814,0900,臺中市西區公益路155巷
111,汽車竊盜,1060816,0435,臺中市東區十甲東路
112,汽車竊盜,1060817,0900,臺中市北屯區軍功路與松竹路口旁的開放式公有停車場內
113,汽車竊盜,1060820,1300,臺中市龍井區龍崗里祥瑞路
114,汽車竊盜,1060822,2215,臺中市豐原區成功路
115,汽車竊盜,1060823,0704,臺中市大雅區民豐街204巷
116,汽車竊盜,1060824,2250,臺中市石岡區萬安里豐勢路
117,汽車竊盜,1060825,0120,臺中市東勢區新盛里東關路6段
118,汽車竊盜,1060827,0635,臺中市后里區三線路
119,汽車竊盜,1060828,0000,臺中市太平區東方街
120,汽車竊盜,1060828,0504,臺中市潭子區潭富二街
121,汽車竊盜,1060829,1130,臺中市北區漢口路4段
122,汽車竊盜,1060831,0005,臺中市西屯區國際街83巷
123,汽車竊盜,1060831,0035,臺中市西區篤行路
124,汽車竊盜,1060901,0400,臺中市清水區南社里民和路2段
125,汽車竊盜,1060902,2058,臺中市潭子區福潭路88巷
126,汽車竊盜,1060905,0934,臺中市大里區勝利二路
127,汽車竊盜,1060906,0240,臺中市沙鹿區北勢里北勢五街
128,汽車竊盜,1060912,0200,臺中市清水區中山路與中興街
129,汽車竊盜,1060913,0300,臺中市潭子區雅潭路3段
130,汽車竊盜,1060913,0909,臺中市大雅區永和路
131,汽車竊盜,1060913,2030,臺中市北屯區敦化路2段
132,汽車竊盜,1060914,0530,臺中市大里區仁化里仁愛路
133,汽車竊盜,1060914,1100,臺中市豐原區成功路131巷
134,汽車竊盜,1060915,2135,臺中市神岡區三民路
135,汽車竊盜,1060919,0841,臺中市神岡區大漢街
136,汽車竊盜,1060920,2317,臺中市北區精武路
137,汽車竊盜,1060922,1230,臺中市龍井區新興路27巷
138,汽車竊盜,1060925,0900,臺中市西屯區永安里12鄰西屯路3段90-30巷
139,汽車竊盜,1060925,1120,臺中市東區仁和一街
140,汽車竊盜,1060926,0100,臺中市豐原區鐮村路
141,汽車竊盜,1060928,0315,臺中市中區光復路
142,汽車竊盜,1061004,0809,臺中市霧峰區乾溪西側防汛道路國道3號橋下往南
143,汽車竊盜,1061010,0350,臺中市大肚區王田里10鄰興和路
144,汽車竊盜,1061010,1600,臺中市北區精武路
145,汽車竊盜,1061011,0800,臺中市梧棲區大智路2段195巷
146,汽車竊盜,1061011,2000,臺中市大甲區中山路1段
147,汽車竊盜,1061012,1400,臺中市潭子區環中東路1段
148,汽車竊盜,1061016,1630,臺中市南屯區豐樂里永順路與永春東二路
149,汽車竊盜,1061018,0433,臺中市沙鹿區東晉路與東英路
150,汽車竊盜,1061018,0520,臺中市西區存中街
151,汽車竊盜,1061022,1830,臺中市潭子區雅潭路2段
152,汽車竊盜,1061024,1710,臺中市沙鹿區沙田路
153,汽車竊盜,1061028,0800,臺中市東勢區北興里正五街
154,汽車竊盜,1061029,1925,臺中市北屯區梅川西4段
155,汽車竊盜,1061030,0830,臺中市后里區甲后路2段
156,汽車竊盜,1061101,2340,臺中市大雅區民生路四段樹德街口
157,汽車竊盜,1061103,1900,臺中市南屯區春安里春安三路近春安路口
158,汽車竊盜,1061105,0100,臺中市清水區南社里民權一街
159,汽車竊盜,1061105,0430,臺中市大雅區振興路
160,汽車竊盜,1061107,0430,臺中市龍井區龍昌路
161,汽車竊盜,1061107,1400,臺中市中區福音街
162,汽車竊盜,1061114,0730,臺中市西屯區惠來里青海路2段
163,汽車竊盜,1061116,1620,臺中市豐原區豐原大道8段旁
164,汽車竊盜,1061118,0415,臺中市北屯區新興路
165,汽車竊盜,1061120,0400,臺中市清水區大楊北街
166,汽車竊盜,1061120,0421,臺中市中區興民街
167,汽車竊盜,1061120,1500,臺中市新社區福興里台21線
168,汽車竊盜,1061121,0530,臺中市豐原區中山路652巷
169,汽車竊盜,1061123,0803,臺中市大雅區中清路四段860巷
170,汽車竊盜,1061124,0730,臺中市大里區益民路1段112巷
171,汽車竊盜,1061125,0544,臺中市東區十甲東路406巷
172,汽車竊盜,1061128,0915,臺中市新社區協成里協中街211巷
173,汽車竊盜,1061201,1816,臺中市沙鹿區中山路
174,汽車竊盜,1061204,0630,臺中市烏日區民權街
175,汽車竊盜,1061204,0943,臺中市沙鹿區洛泉里日新街61巷
176,汽車竊盜,1061205,2100,臺中市大雅區中清路五段
177,汽車竊盜,1061209,0500,臺中市大里區新仁路3段
178,汽車竊盜,1061219,0154,臺中市龍井區新庄里遊園南路136巷
179,汽車竊盜,1061220,1300,臺中市北區東光路與天祥街
180,汽車竊盜,1061220,1830,臺中市南區忠明南路與興大路口
181,汽車竊盜,1061223,0650,臺中市烏日區榮泉路
182,汽車竊盜,1061223,1420,臺中市西屯區惠來路52號巷
183,汽車竊盜,1061226,1240,臺中市西屯區河南路三段與市政北一路口
184,汽車竊盜,1061227,2300,臺中市東區東光園路
