編號,案類,發生日期,發生時間,發生地點
1,汽車竊盜,1080106,0955,台中市東勢區新盛里新盛12街
2,汽車竊盜,1080106,1100,台中市豐原區社皮路185巷
3,汽車竊盜,1080110,0048,台中市豐原區
4,汽車竊盜,1080112,0605,台中市北區
5,汽車竊盜,1080113,0344,台中市太平區中和街
6,汽車竊盜,1080114,0200,台中市西區三民路與貴和街
7,汽車竊盜,1080115,2223,台中市豐原區葫蘆墩二街
8,汽車竊盜,1080116,0500,台中市大肚區興和路185巷
9,汽車竊盜,1080117,0900,台中市西屯區華美西街與漢城街
10,汽車竊盜,1080120,0324,台中市北屯區天津路3段
11,汽車竊盜,1080122,1930,台中市豐原區豐南街92巷
12,汽車竊盜,1080126,0339,台中市太平區樹德一街136巷
13,汽車竊盜,1080126,1550,台中市潭子區潭興路2段169巷
14,汽車竊盜,1080127,0230,台中市南屯區楓樹里楓樹二街
15,汽車竊盜,1080201,1500,台中市大里區仁德里仁美路
16,汽車竊盜,1080204,0400,台中市西屯區重慶路
17,汽車竊盜,1080208,1300,台中市神岡區大漢街113巷
18,汽車竊盜,1080210,2100,台中市烏日區成功東西路
19,汽車竊盜,1080211,0900,台中市北區興進路
20,汽車竊盜,1080216,1600,台中市南區樹德一巷
21,汽車竊盜,1080220,0850,台中市南屯區大興里南屯路2段
22,汽車竊盜,1080222,0400,台中市烏日區光德路
23,汽車竊盜,1080303,1510,台中市豐原區三民路
24,汽車竊盜,1080306,1715,台中市潭子區環中路與旱溪西路
25,汽車竊盜,1080309,0400,台中市清水區光華路
26,汽車竊盜,1080323,0657,台中市北屯區旅順路2段
27,汽車竊盜,1080326,1848,台中市北屯區昌平路2段
28,汽車竊盜,1080327,0713,台中市南屯區豐樂里三民西路
29,汽車竊盜,1080401,0510,台中市北區柳川東路4段
30,汽車竊盜,1080403,0830,台中市東區自由路與進德路口
31,汽車竊盜,1080405,0610,台中市北區柳川東路與文武街
32,汽車竊盜,1080406,1200,台中市南區樹德一巷
33,汽車竊盜,1080406,2250,台中市大里區爽文路永隆五街
34,汽車竊盜,1080407,0420,台中市北屯區景賢南二路
35,汽車竊盜,1080410,0310,台中市豐原區豐原大道三段
36,汽車竊盜,1080410,2007,台中市西屯區經貿路與經貿十一街
37,汽車竊盜,1080414,0330,台中市烏日區五光里五光路189巷
38,汽車竊盜,1080418,1938,台中市烏日區環河路3段
39,汽車竊盜,1080420,0202,台中市西區建國北路3段
40,汽車竊盜,1080420,0410,台中市北屯區庄美街與榮貴街口
41,汽車竊盜,1080429,0200,台中市南區柳川西路與三民西路口
42,汽車竊盜,1080503,0700,台中市龍井區中山一路1段
43,汽車竊盜,1080504,2000,台中市烏日區站區二路
44,汽車竊盜,1080505,1155,台中市大里區鳥竹圍公園
45,汽車竊盜,1080506,1100,台中市北屯區敦富路與松竹路口
46,汽車竊盜,1080510,0750,台中市大雅區前村路382巷
47,汽車竊盜,1080510,1740,台中市大雅區學府路250巷
48,汽車竊盜,1080511,1330,台中市后里區月眉里雲頭路
49,汽車竊盜,1080521,0030,台中市大肚區王福街2巷
50,汽車竊盜,1080522,1909,台中市北屯區松竹路1段
51,汽車竊盜,1080525,1200,台中市梧棲區永安里中華路1段
52,汽車竊盜,1080530,0138,台中市大里區大智路鳥竹圍公園
53,汽車竊盜,1080605,0850,台中市南區德富路
54,汽車竊盜,1080606,0330,台中市東勢區東蘭路
55,汽車竊盜,1080608,0207,台中市豐原區水源路坪頂巷
56,汽車竊盜,1080614,0710,台中市西屯區東大路一段
57,汽車竊盜,1080614,0725,台中市太平區祥順路與新平路2段
58,汽車竊盜,1080616,0430,台中市大甲區順天路
59,汽車竊盜,1080628,1400,台中市豐原區國豐路二段656巷
