編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
56,自行車竊盜,1050428,925,臺中市南區工學路與工學五街口,105,2016-04-28,9,自行車竊盜,1,南區
57,自行車竊盜,1050430,1545,臺中市大安區南安與南埔路口,105,2016-04-30,15,自行車竊盜,1,大安區
58,自行車竊盜,1050502,1423,臺中市中區自由路2段,105,2016-05-02,14,自行車竊盜,1,中區
59,自行車竊盜,1050502,1600,臺中市潭子區聚興里豐興路1段,105,2016-05-02,16,自行車竊盜,1,潭子區
60,自行車竊盜,1050503,227,臺中市南屯區大墩路,105,2016-05-03,2,自行車竊盜,1,南屯區
61,自行車竊盜,1050504,1500,臺中市北區崇德路1段146巷,105,2016-05-04,15,自行車竊盜,1,北區
62,自行車竊盜,1050505,203,臺中市南屯區同心里大墩四街,105,2016-05-05,2,自行車竊盜,1,南屯區
63,自行車竊盜,1050505,830,臺中市南屯區大墩四街,105,2016-05-05,8,自行車竊盜,1,南屯區
64,自行車竊盜,1050505,930,臺中市大雅區龍山三街,105,2016-05-05,9,自行車竊盜,1,大雅區
65,自行車竊盜,1050507,1800,臺中市豐原區豐東路,105,2016-05-07,18,自行車竊盜,1,豐原區
66,自行車竊盜,1050512,700,臺中市大雅區中清東路,105,2016-05-12,7,自行車竊盜,1,大雅區
67,自行車竊盜,1050515,1630,臺中市北區忠明路,105,2016-05-15,16,自行車竊盜,1,北區
68,自行車竊盜,1050515,2040,臺中市北區中清路1段,105,2016-05-15,20,自行車竊盜,1,北區
69,自行車竊盜,1050519,740,臺中市大里區爽文路,105,2016-05-19,7,自行車竊盜,1,大里區
70,自行車竊盜,1050519,2235,臺中市豐原區水源路611巷,105,2016-05-19,22,自行車竊盜,1,豐原區
71,自行車竊盜,1050521,1615,臺中市西屯區長安路二段,105,2016-05-21,16,自行車竊盜,1,西屯區
72,自行車竊盜,1050524,1700,臺中市神岡區岸裡里大洲路,105,2016-05-24,17,自行車竊盜,1,神岡區
73,自行車竊盜,1050528,1620,臺中市霧峰區萊園路,105,2016-05-28,16,自行車竊盜,1,霧峰區
74,自行車竊盜,1050530,1635,臺中市南區復興路3段,105,2016-05-30,16,自行車竊盜,1,南區
75,自行車竊盜,1050531,1730,臺中市龍井區沙田路5段98巷,105,2016-05-31,17,自行車竊盜,1,龍井區
76,自行車竊盜,1050605,1200,臺中市南區國光路,105,2016-06-05,12,自行車竊盜,1,南區
77,自行車竊盜,1050609,27,臺中市烏日區三民街,105,2016-06-09,0,自行車竊盜,1,烏日區
78,自行車竊盜,1050609,1053,臺中市大里區德芳南路,105,2016-06-09,10,自行車竊盜,1,大里區
79,自行車竊盜,1050611,1020,臺中市南屯區三厝里河南路4段690巷,105,2016-06-11,10,自行車竊盜,1,南屯區
80,自行車竊盜,1050614,213,臺中市北區德化街,105,2016-06-14,2,自行車竊盜,1,北區
81,自行車竊盜,1050615,630,臺中市龍井區沙田路4段528巷,105,2016-06-15,6,自行車竊盜,1,龍井區
82,自行車竊盜,1050616,700,臺中市大安區甲東與水源路口,105,2016-06-16,7,自行車竊盜,1,大安區
83,自行車竊盜,1050616,1620,臺中市北區學士路,105,2016-06-16,16,自行車竊盜,1,北區
84,自行車竊盜,1050617,700,臺中市西屯區永福路,105,2016-06-17,7,自行車竊盜,1,西屯區
85,自行車竊盜,1050618,1430,臺中市潭子區中山路2段,105,2016-06-18,14,自行車竊盜,1,潭子區
86,自行車竊盜,1050619,2118,臺中市南屯區東興路2段,105,2016-06-19,21,自行車竊盜,1,南屯區
87,自行車竊盜,1050619,2130,臺中市西屯區東興路3段,105,2016-06-19,21,自行車竊盜,1,西屯區
88,自行車竊盜,1050622,1630,臺中市西屯區文華路,105,2016-06-22,16,自行車竊盜,1,西屯區
89,自行車竊盜,1050625,447,臺中市北區美德街,105,2016-06-25,4,自行車竊盜,1,北區
90,自行車竊盜,1050629,2016,臺中市北屯區天津路4段,105,2016-06-29,20,自行車竊盜,1,北屯區
91,自行車竊盜,1050703,1700,臺中市北區一中街,105,2016-07-03,17,自行車竊盜,1,北區
92,自行車竊盜,1050704,1304,臺中市東區練武路,105,2016-07-04,13,自行車竊盜,1,東區
93,自行車竊盜,1050705,805,臺中市東區六順路,105,2016-07-05,8,自行車竊盜,1,東區
94,自行車竊盜,1050707,1140,臺中市西屯區四川東街與四川三街口,105,2016-07-07,11,自行車竊盜,1,西屯區
95,自行車竊盜,1050708,1230,臺中市龍井區中華路1段221巷,105,2016-07-08,12,自行車竊盜,1,龍井區
96,自行車竊盜,1050712,2052,臺中市后里區公安路,105,2016-07-12,20,自行車竊盜,1,后里區
97,自行車竊盜,1050713,1239,臺中市南區復興路3段,105,2016-07-13,12,自行車竊盜,1,南區
98,自行車竊盜,1050713,1742,臺中市龍井區龍山街123巷,105,2016-07-13,17,自行車竊盜,1,龍井區
99,自行車竊盜,1050715,1640,臺中市西區自由路1段,105,2016-07-15,16,自行車竊盜,1,西區
100,自行車竊盜,1050715,1800,臺中市烏日區站區二路與高鐵一路人行道上,105,2016-07-15,18,自行車竊盜,1,烏日區
101,自行車竊盜,1050716,0,臺中市南屯區中和里中和南一巷,105,2016-07-16,0,自行車竊盜,1,南屯區
102,自行車竊盜,1050719,730,臺中市南區建國北路1段,105,2016-07-19,7,自行車竊盜,1,南區
103,自行車竊盜,1050721,1355,臺中市南區文心南路,105,2016-07-21,13,自行車竊盜,1,南區
104,自行車竊盜,1050723,1045,臺中市北區學士路,105,2016-07-23,10,自行車竊盜,1,北區
105,自行車竊盜,1050725,1600,臺中市霧峰區中正路538巷,105,2016-07-25,16,自行車竊盜,1,霧峰區
106,自行車竊盜,1050726,430,臺中市西屯區美滿街39巷,105,2016-07-26,4,自行車竊盜,1,西屯區
107,自行車竊盜,1050726,2200,臺中市大安區中山南路,105,2016-07-26,22,自行車竊盜,1,大安區
108,自行車竊盜,1050727,100,臺中市太平區成功東路,105,2016-07-27,1,自行車竊盜,1,太平區
109,自行車竊盜,1050727,200,臺中市太平區太平路353巷,105,2016-07-27,2,自行車竊盜,1,太平區
110,自行車竊盜,1050727,1138,臺中市西屯區協和里工業區38路148巷,105,2016-07-27,11,自行車竊盜,1,西屯區
111,自行車竊盜,1050727,1613,臺中市東區復興路4段,105,2016-07-27,16,自行車竊盜,1,東區
112,自行車竊盜,1050728,1200,臺中市太平區成功東路,105,2016-07-28,12,自行車竊盜,1,太平區
113,自行車竊盜,1050730,430,臺中市西區公益路,105,2016-07-30,4,自行車竊盜,1,西區
114,自行車竊盜,1050730,2355,臺中市西屯區順和八街與順和九街口,105,2016-07-30,23,自行車竊盜,1,西屯區
115,自行車竊盜,1050731,2110,臺中市大安區中山南路,105,2016-07-31,21,自行車竊盜,1,大安區
116,自行車竊盜,1050731,2233,臺中市南區建國南路1段,105,2016-07-31,22,自行車竊盜,1,南區
117,自行車竊盜,1050803,1530,臺中市大里區中興路1段,105,2016-08-03,15,自行車竊盜,1,大里區
