date,hour,location,district,crime_category,is_valid
2016-03-20,19,臺中市大雅區永和路,大雅區,機車竊盜,1
2016-03-21,8,臺中市后里區中興街115巷,后里區,機車竊盜,1
2016-03-23,2,臺中市西區三民、五權路,西區,機車竊盜,1
2016-03-23,2,臺中市西區三民路1段39巷,西區,機車竊盜,1
2016-03-23,9,臺中市霧峰區甲寅里中正路,霧峰區,機車竊盜,1
2016-03-24,9,臺中市霧峰區中正路,霧峰區,機車竊盜,1
2016-03-25,18,臺中市大里區好來一街,大里區,機車竊盜,1
2016-03-25,18,臺中市大里區鳳城街,大里區,機車竊盜,1
2016-03-25,19,臺中市西區向上北路,西區,機車竊盜,1
2016-03-29,6,臺中市西屯區上石北二巷,西屯區,機車竊盜,1
2016-03-29,20,臺中市北區梅亭街,北區,機車竊盜,1
2016-03-30,20,臺中市西屯區福上巷,西屯區,機車竊盜,1
2016-03-31,17,臺中市太平區新平路2段,太平區,機車竊盜,1
2016-04-01,4,臺中市大里區塗城里7鄰美群路141巷,大里區,機車竊盜,1
2016-04-03,22,臺中市西屯區漢口路2段,西屯區,機車竊盜,1
2016-04-04,1,臺中市北屯區文心路四段,北屯區,機車竊盜,1
2016-04-05,3,臺中市北屯區東光路太原火車站,北屯區,機車竊盜,1
2016-04-06,14,臺中市大甲區中山路2段140巷,大甲區,機車竊盜,1
2016-04-08,1,臺中市北區南京東路與富強街口,北區,機車竊盜,1
2016-04-09,18,臺中市北區錦新街,北區,機車竊盜,1
2016-04-09,18,臺中市西屯區青海路一段,西屯區,機車竊盜,1
2016-04-09,22,臺中市北區民權路359巷,北區,機車竊盜,1
2016-04-11,8,臺中市大里區德芳南路德芳南一街附近,大里區,機車竊盜,1
2016-04-16,4,臺中市北區梅川東路3段,北區,機車竊盜,1
2016-04-17,4,臺中市豐原區北陽路,豐原區,機車竊盜,1
2016-04-17,20,臺中市潭子區大豐路三段3巷口,潭子區,機車竊盜,1
2016-04-18,5,臺中市東區雙十路與南京路口,東區,機車竊盜,1
2016-04-18,13,臺中市北屯區梅川東路四段,北屯區,機車竊盜,1
2016-04-19,7,臺中市大雅區永和路與上山路口,大雅區,機車竊盜,1
2016-04-19,21,臺中市中區臺灣大道1段,中區,機車竊盜,1
2016-04-20,8,臺中市豐原區圓環南路60巷,豐原區,機車竊盜,1
2016-04-21,6,臺中市太平區民族路,太平區,機車竊盜,1
2016-04-21,6,臺中市烏日區光日路,烏日區,機車竊盜,1
2016-04-22,6,臺中市西屯區福上巷,西屯區,機車竊盜,1
2016-04-22,10,臺中市西屯區工業區五路,西屯區,機車竊盜,1
2016-04-22,19,臺中市北區金龍街,北區,機車竊盜,1
2016-04-23,1,臺中市東勢區東蘭路永盛巷,東勢區,機車竊盜,1
2016-04-23,9,臺中市南區大慶街2段,南區,機車竊盜,1
2016-04-23,12,臺中市后里區雲頭路農業道路,后里區,機車竊盜,1
2016-04-24,13,臺中市北區原子街,北區,機車竊盜,1
2016-04-25,7,臺中市中區台灣大道,中區,機車竊盜,1
2016-04-25,11,臺中市豐原區向陽路6巷,豐原區,機車竊盜,1
2016-04-27,12,臺中市西區華美西街1段,西區,機車竊盜,1
2016-04-27,20,臺中市中區民權、市府路,中區,機車竊盜,1
2016-04-28,4,臺中市潭子區豐興路1段,潭子區,機車竊盜,1
2016-04-28,21,臺中市北區公園路自由路口,北區,機車竊盜,1
2016-04-29,3,臺中市中區民權路,中區,機車竊盜,1
2016-05-01,6,臺中市梧棲區文華街118巷,梧棲區,機車竊盜,1
2016-05-01,8,臺中市梧棲區文華街28巷,梧棲區,機車竊盜,1
2016-05-02,15,臺中市潭子區祥和路,潭子區,機車竊盜,1
2016-05-02,17,臺中市太平區新平路3段346巷,太平區,機車竊盜,1
2016-05-03,6,臺中市北屯區平田里遼陽北一街,北屯區,機車竊盜,1
2016-05-04,15,臺中市神岡區大洲路,神岡區,機車竊盜,1
2016-05-05,0,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1
2016-05-05,9,臺中市北區武昌街,北區,機車竊盜,1
2016-05-05,18,臺中市北屯區天津路4段,北屯區,機車竊盜,1
2016-05-06,6,臺中市東勢區北興里豐勢路,東勢區,機車竊盜,1
2016-05-06,7,臺中市豐原區中正路,豐原區,機車竊盜,1
2016-05-06,19,臺中市后里區甲后路,后里區,機車竊盜,1
2016-05-06,22,臺中市北區太原八街,北區,機車竊盜,1
2016-05-09,6,臺中市龍井區臨港東路2段315巷,龍井區,機車竊盜,1
2016-05-11,23,臺中市大雅區雅環路二段221巷,大雅區,機車竊盜,1
2016-05-12,14,臺中市神岡區大漢街,神岡區,機車竊盜,1
2016-05-13,0,臺中市南屯區永春北路,南屯區,機車竊盜,1
2016-05-13,8,臺中市大雅區中清東路,大雅區,機車竊盜,1
2016-05-14,4,臺中市西區梅川西路2段,西區,機車竊盜,1
2016-05-16,11,臺中市太平區東村八街13巷,太平區,機車竊盜,1
2016-05-18,0,臺中市烏日區自立街,烏日區,機車竊盜,1
2016-05-19,19,臺中市大里區中新里現岱路,大里區,機車竊盜,1
2016-05-20,0,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1
2016-05-20,23,臺中市潭子區中山路,潭子區,機車竊盜,1
2016-05-26,0,臺中市北區英士路,北區,機車竊盜,1
2016-05-29,17,臺中市北區進化北路,北區,機車竊盜,1
2016-05-30,10,臺中市大甲區中山路,大甲區,機車竊盜,1
2016-06-01,11,臺中市北區梅亭街,北區,機車竊盜,1
2016-06-02,0,臺中市沙鹿區晉文路,沙鹿區,機車竊盜,1
2016-06-02,13,臺中市西屯區港尾里中清路2段,西屯區,機車竊盜,1
2016-06-04,23,臺中市沙鹿區台灣大道9段,沙鹿區,機車竊盜,1
2016-06-05,6,臺中市東區東學街後巷,東區,機車竊盜,1
2016-06-05,21,臺中市外埔區土城北路,外埔區,機車竊盜,1
2016-06-08,10,臺中市梧棲區梧南路,梧棲區,機車竊盜,1
2016-06-08,13,臺中市北區精武路,北區,機車竊盜,1
2016-06-09,1,臺中市大雅區大榮街106巷口,大雅區,機車竊盜,1
2016-06-11,14,臺中市霧峰區吉峰西路74巷,霧峰區,機車竊盜,1
2016-06-12,2,臺中市中區成功路與綠川東街口,中區,機車竊盜,1
2016-06-12,14,臺中市南屯區文心路1段,南屯區,機車竊盜,1
2016-06-12,23,臺中市潭子區興華一路,潭子區,機車竊盜,1
2016-06-13,20,臺中市西屯區忠義街,西屯區,機車竊盜,1
2016-06-14,0,臺中市大里區永興路302巷,大里區,機車竊盜,1
2016-06-14,7,臺中市西區福龍街,西區,機車竊盜,1
2016-06-14,11,臺中市太平區太平路,太平區,機車竊盜,1
2016-06-14,19,臺中市南區大慶街2段,南區,機車竊盜,1
2016-06-15,11,臺中市太平區太平路,太平區,機車竊盜,1
2016-06-15,19,臺中市沙鹿區光榮街83巷,沙鹿區,機車竊盜,1
2016-06-15,22,臺中市大雅區中清路四段70巷口,大雅區,機車竊盜,1
2016-06-16,18,臺中市梧棲區大仁路2段353巷,梧棲區,機車竊盜,1
2016-06-17,10,臺中市烏日區環中路7段,烏日區,機車竊盜,1
2016-06-17,13,臺中市北屯區環東路1段,北屯區,機車竊盜,1
2016-06-18,5,臺中市和平區臺七甲線,和平區,機車竊盜,1
2016-06-18,19,臺中市霧峰區吉豐東路,霧峰區,機車竊盜,1
2016-06-19,3,臺中市大雅區中清東路,大雅區,機車竊盜,1
2016-06-20,1,臺中市西屯區上石北二巷,西屯區,機車竊盜,1
2016-06-20,3,臺中市霧峰區五福里010鄰五福路,霧峰區,機車竊盜,1
2016-06-20,7,臺中市沙鹿區四平街42巷,沙鹿區,機車竊盜,1
2016-06-20,13,臺中市北區公園路,北區,機車竊盜,1
2016-06-21,16,臺中市沙鹿區四平街,沙鹿區,機車竊盜,1
2016-06-21,19,臺中市梧棲區台灣大道8段,梧棲區,機車竊盜,1
2016-06-22,2,臺中市西屯區文心路2段,西屯區,機車竊盜,1
2016-06-22,2,臺中市沙鹿區四平街42巷,沙鹿區,機車竊盜,1
2016-06-22,10,臺中市大雅區中清東路,大雅區,機車竊盜,1
2016-06-23,14,臺中市太平區正誠街,太平區,機車竊盜,1
2016-06-23,19,臺中市北區原子街與中央街口,北區,機車竊盜,1
2016-06-24,19,臺中市清水區中山路,清水區,機車竊盜,1
2016-06-25,19,臺中市北區公園路,北區,機車竊盜,1
2016-06-25,19,臺中市北屯區崇德五路與河北路口,北屯區,機車竊盜,1
2016-06-25,21,臺中市大雅區信義路45巷,大雅區,機車竊盜,1
2016-06-26,8,臺中市大里區益民路1段,大里區,機車竊盜,1
2016-06-26,11,臺中市大里區內新里新光路,大里區,機車竊盜,1
2016-06-27,0,臺中市東勢區中寧里正五街2號,東勢區,機車竊盜,1
2016-06-27,5,臺中市大里區新仁七街,大里區,機車竊盜,1
2016-06-28,21,臺中市西屯區福聯街22巷,西屯區,機車竊盜,1
2016-06-29,6,臺中市龍井區麗水里臨港路1段,龍井區,機車竊盜,1
