date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-02-22,3,臺中市北區武昌路,北區,機車竊盜,1,24.155174140946986,120.68536194894294,jittered
2016-02-22,21,臺中市南區信義南街,南區,機車竊盜,1,24.118120530583877,120.66239418507689,jittered
2016-02-22,21,臺中市南區信義南街,南區,機車竊盜,1,24.11245832468443,120.6462,jittered
2016-02-23,16,臺中市大甲區光明路11巷,大甲區,機車竊盜,1,24.328033955982566,120.629240218684,jittered
2016-02-24,16,臺中市豐原區南村路,豐原區,機車竊盜,1,24.24078229006787,120.71183682365802,jittered
2016-02-24,17,臺中市北屯區北屯路439之17巷,北屯區,機車竊盜,1,24.175927566726603,120.69499063319972,jittered
2016-02-27,4,臺中市霧峰區中正路1265巷,霧峰區,機車竊盜,1,24.061545932171203,120.69400523736674,jittered
2016-02-27,12,臺中市北屯區北屯路,北屯區,機車竊盜,1,24.1524,120.70508091855649,jittered
2016-02-27,22,臺中市豐原區東大路二段與清泉路,豐原區,機車竊盜,1,24.261003229392315,120.69787372583426,jittered
2016-03-01,5,臺中市大甲區臨江路150巷,大甲區,機車竊盜,1,24.338479189710842,120.6154234889766,jittered
2016-03-01,5,臺中市大甲區臨江路150巷,大甲區,機車竊盜,1,24.366595179550803,120.60863392001157,jittered
2016-03-01,21,臺中市南區國光路,南區,機車竊盜,1,24.12945669936998,120.66549773055807,jittered
2016-03-02,1,臺中市沙鹿區中山路76巷,沙鹿區,機車竊盜,1,24.223855236356282,120.56869943618518,jittered
2016-03-04,16,臺中市北屯區北屯路,北屯區,機車竊盜,1,24.196132606478223,120.67934687040908,jittered
2016-03-05,1,臺中市西屯區市政北七路與惠來路口,西屯區,機車竊盜,1,24.192137467603775,120.61992193655625,jittered
2016-03-07,10,臺中市烏日區仁德里興祥街69巷,烏日區,機車竊盜,1,24.1000939685027,120.61076071914475,jittered
2016-03-07,19,臺中市南區建國北路1段,南區,機車竊盜,1,24.122166909491593,120.65808396508945,jittered
2016-03-08,3,臺中市豐原區信義街,豐原區,機車竊盜,1,24.2557681305131,120.73769999999999,jittered
2016-03-08,8,臺中市北區青島西街與北平路,北區,機車竊盜,1,24.165050072962845,120.67797995955178,jittered
2016-03-09,3,臺中市北區公園路,北區,機車竊盜,1,24.157142987196146,120.68247616408232,jittered
2016-03-09,17,臺中市西屯區工業區一路,西屯區,機車竊盜,1,24.193253766383986,120.61072961938267,jittered
2016-03-09,23,臺中市南屯區永春北路,南屯區,機車竊盜,1,24.141205560650945,120.6178691434102,jittered
2016-03-11,15,臺中市外埔區大馬路庄內巷1巷,外埔區,機車竊盜,1,24.333120461372246,120.65255281733374,jittered
2016-03-12,18,臺中市大雅區三民南路30巷,大雅區,機車竊盜,1,24.2109,120.64922449460255,jittered
2016-03-13,1,臺中市大肚區王福街130巷,大肚區,機車竊盜,1,24.172598529361483,120.54268802953307,jittered
2016-03-13,13,臺中市東區復興路4段與大公街口,東區,機車竊盜,1,24.12760074743336,120.69313448617177,jittered
2016-03-16,13,臺中市南區永南街,南區,機車竊盜,1,24.126865853624803,120.65198567559644,jittered
2016-03-16,14,臺中市西區臺灣大道2段,西區,機車竊盜,1,24.145295877316222,120.65646351669776,jittered
2016-03-17,5,臺中市西屯區河南路二段,西屯區,機車竊盜,1,24.179854847475305,120.61194441171361,jittered
2016-03-17,12,臺中市北區育德路與大德街口,北區,機車竊盜,1,24.162461104326475,120.6938,jittered
2016-03-20,10,臺中市西屯區河南路2段,西屯區,機車竊盜,1,24.17404642851291,120.61013226990684,jittered
2016-03-20,19,臺中市大雅區永和路,大雅區,機車竊盜,1,24.23225137968768,120.64975123990139,jittered
2016-03-21,8,臺中市后里區中興街115巷,后里區,機車竊盜,1,24.306036053801897,120.7364,jittered
2016-03-23,2,臺中市西區三民、五權路,西區,機車竊盜,1,24.130037619840717,120.66318727200226,jittered
2016-03-23,2,臺中市西區三民路1段39巷,西區,機車竊盜,1,24.138853079990803,120.66183485636283,jittered
2016-03-23,9,臺中市霧峰區甲寅里中正路,霧峰區,機車竊盜,1,24.054123487278314,120.68735075307977,jittered
2016-03-24,9,臺中市霧峰區中正路,霧峰區,機車竊盜,1,24.064578740522276,120.70444934437356,jittered
2016-03-25,18,臺中市大里區好來一街,大里區,機車竊盜,1,24.1193774760043,120.69155919867354,jittered
2016-03-25,18,臺中市大里區鳳城街,大里區,機車竊盜,1,24.108293165193917,120.69681479200294,jittered
2016-03-25,19,臺中市西區向上北路,西區,機車竊盜,1,24.136214266602686,120.65970541504383,jittered
2016-03-29,6,臺中市西屯區上石北二巷,西屯區,機車竊盜,1,24.182373097184573,120.6170916858818,jittered
2016-03-29,20,臺中市北區梅亭街,北區,機車竊盜,1,24.15089287349225,120.6792224098757,jittered
2016-03-30,20,臺中市西屯區福上巷,西屯區,機車竊盜,1,24.187421463515822,120.63817004299929,jittered
2016-03-31,17,臺中市太平區新平路2段,太平區,機車竊盜,1,24.12466461735947,120.7464,jittered
2016-04-01,4,臺中市大里區塗城里7鄰美群路141巷,大里區,機車竊盜,1,24.077127931586816,120.6820835050416,jittered
2016-04-03,22,臺中市西屯區漢口路2段,西屯區,機車竊盜,1,24.2065,120.6255516588598,jittered
2016-04-04,1,臺中市北屯區文心路四段,北屯區,機車竊盜,1,24.20742102442995,120.70228792723958,jittered
2016-04-05,3,臺中市北屯區東光路太原火車站,北屯區,機車竊盜,1,24.163660824744014,120.68449502879523,jittered
2016-04-06,14,臺中市大甲區中山路2段140巷,大甲區,機車竊盜,1,24.34367233460858,120.61542582982273,jittered
2016-04-08,1,臺中市北區南京東路與富強街口,北區,機車竊盜,1,24.15992804599777,120.67811988683468,jittered
2016-04-09,18,臺中市北區錦新街,北區,機車竊盜,1,24.1734,120.6758560894945,jittered
2016-04-09,18,臺中市西屯區青海路一段,西屯區,機車竊盜,1,24.18767489923386,120.60952527783597,jittered
2016-04-09,22,臺中市北區民權路359巷,北區,機車竊盜,1,24.155238572929207,120.68313049655808,jittered
2016-04-11,8,臺中市大里區德芳南路德芳南一街附近,大里區,機車竊盜,1,24.09665331326767,120.70280000000001,jittered
2016-04-16,4,臺中市北區梅川東路3段,北區,機車竊盜,1,24.163371582608537,120.67702280870841,jittered
2016-04-17,4,臺中市豐原區北陽路,豐原區,機車竊盜,1,24.23866161665691,120.72154319193399,jittered
2016-04-17,20,臺中市潭子區大豐路三段3巷口,潭子區,機車竊盜,1,24.222199577290763,120.69395657408576,jittered
2016-04-18,5,臺中市東區雙十路與南京路口,東區,機車竊盜,1,24.13667507656335,120.70939563554249,jittered
2016-04-18,13,臺中市北屯區梅川東路四段,北屯區,機車竊盜,1,24.182073569216954,120.70039824818818,jittered
2016-04-19,7,臺中市大雅區永和路與上山路口,大雅區,機車竊盜,1,24.23449607880359,120.64021288911701,jittered
2016-04-19,21,臺中市中區臺灣大道1段,中區,機車竊盜,1,24.137630802702574,120.67447482127702,jittered
2016-04-20,8,臺中市豐原區圓環南路60巷,豐原區,機車竊盜,1,24.231718983645578,120.71327349000262,jittered
2016-04-21,6,臺中市太平區民族路,太平區,機車竊盜,1,24.128519716272194,120.7260190975047,jittered
2016-04-21,6,臺中市烏日區光日路,烏日區,機車竊盜,1,24.104324887945996,120.63474692765573,jittered
2016-04-22,6,臺中市西屯區福上巷,西屯區,機車竊盜,1,24.18334312214077,120.6427,jittered
2016-04-22,10,臺中市西屯區工業區五路,西屯區,機車竊盜,1,24.178849585431486,120.61413838537757,jittered
